timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1705417816243.8628,0,0,0,0,0,0,0,0,159735369,3233530878,1143513,2901226,1271,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10575847,6655,49514,61,0,0,0,0,1079655,43696219648,776465,34660005888,207.734375,344862.296875,169.1875,3676.812499999942,2661.46875,0.0,2500.0,0.0,2500.0,278421616,147653830,0,1809133470
1705417817240.1372,0,0,0,0,0,0,0,0,159748120,3233574541,1143630,2901365,1271,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10576369,6655,49515,61,0,0,0,0,1079656,43696236032,776499,34661246976,207.734375,344874.046875,169.203125,3676.906249999942,2661.546875,1.6,2500.0,0.0,2500.0,278438842,147664188,0,1809246601
1705417818237.5989,0,0,0,0,0,0,0,0,159753564,3233605534,1143702,2901453,1271,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10576369,6655,49515,61,0,0,0,0,1079657,43696244224,776504,34661308416,207.734375,344885.78125,169.203125,3676.937499999942,2661.671875,1.3,2500.0,0.0,2500.0,278454943,147673605,0,1809355301
1705417819247.2463,0,0,0,0,0,0,0,0,159761748,3233638635,1143786,2901553,1271,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10576369,6655,49515,61,0,0,0,0,1079657,43696244224,776524,34661685248,207.75,344897.8125,169.203125,3677.062499999942,2661.828125,2.4,2500.0,0.0,2500.0,278475882,147685758,0,1809621470
1705417820249.686,0,0,0,0,0,0,0,0,159769016,3233669951,1143867,2901641,1271,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10578049,6655,49523,61,0,0,0,0,1079657,43696244224,776551,34662221824,207.765625,344909.671875,169.203125,3677.109374999942,2661.921875,1.3,2500.0,0.0,2500.0,278493340,147695722,0,1809734686
1705417821246.9534,0,0,0,0,0,0,0,0,159779205,3233721275,1143957,2901817,1271,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10579821,6655,49532,61,0,0,0,0,1079657,43696244224,776570,34662627328,207.765625,344921.4375,169.203125,3677.156249999942,2662.03125,1.3,2500.0,0.0,2500.0,278510325,147705370,0,1809848839
1705417822244.4604,0,0,0,0,0,0,0,0,159785469,3233762045,1144039,2901943,1271,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10579913,6655,49533,61,0,0,0,0,1079657,43696244224,776573,34662672384,207.765625,344933.25,169.21875,3677.312499999942,2662.140625,2.3,2500.0,0.0,2500.0,278526765,147714797,0,1809998072
1705417823245.703,0,0,0,0,0,0,0,0,159805132,3233801077,1144141,2902044,1271,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10581685,6655,49542,61,0,0,0,0,1079657,43696244224,776594,34663065600,207.765625,344944.828125,169.21875,3677.421874999942,2662.296875,2.2,2500.0,0.0,2500.0,278543456,147724192,0,1810109149
1705417824243.5583,0,0,0,0,0,0,0,0,159811425,3233843085,1144221,2902182,1271,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10581685,6655,49542,61,0,0,0,0,1079657,43696244224,776616,34663561216,207.765625,344956.625,169.21875,3677.468749999942,2662.421875,1.4,2500.0,0.0,2500.0,278560235,147733433,0,1810223055
1705417825243.241,0,0,0,0,0,0,0,0,159819748,3233876154,1144307,2902283,1271,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10581685,6655,49542,61,0,0,0,0,1079657,43696244224,776641,34664097792,207.765625,344968.453125,169.21875,3677.609374999942,2662.5,1.8,2500.0,0.0,2500.0,278578199,147743181,0,1810360562
