timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1705418821859.025,0,0,0,0,0,0,0,0,168080533,3319088418,1232016,3034963,1290,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11055121,6655,51757,61,0,0,0,0,1080257,43730202624,802464,35221322752,210.734375,356707.953125,174.421875,3779.562499999942,2780.421875,4.2,2500.0,0.0,2500.0,295092377,157076631,0,1933451769
1705418822872.9438,0,0,0,0,0,0,0,0,168092515,3319130762,1232136,3035105,1290,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11055339,6655,51758,61,0,0,0,0,1080258,43730206720,802466,35221330944,210.734375,356719.875,174.421875,3779.640624999942,2780.578125,1.9,2500.0,0.0,2500.0,295110087,157087076,0,1933569581
1705418823874.1038,0,0,0,0,0,0,0,0,168098207,3319161560,1232209,3035189,1290,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11055557,6655,51759,61,0,0,0,0,1080258,43730206720,802486,35221818368,210.734375,356731.765625,174.4375,3779.671874999942,2780.640625,0.9,2500.0,0.0,2500.0,295126489,157096168,0,1933679398
1705418824872.6294,0,0,0,0,0,0,0,0,168106710,3319194739,1232295,3035290,1290,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11055775,6655,51760,61,0,0,0,0,1080258,43730206720,802514,35222649856,210.734375,356743.546875,174.4375,3779.765624999942,2780.796875,2.1,2500.0,0.0,2500.0,295148896,157109411,0,1933944462
1705418825860.662,0,0,0,0,0,0,0,0,168114404,3319226322,1232380,3035381,1290,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11057673,6655,51769,61,0,0,0,0,1080258,43730206720,802538,35223088128,210.75,356755.3125,174.4375,3779.843749999942,2780.875,1.4,2500.0,0.0,2500.0,295165313,157118485,0,1934054259
1705418826866.7944,0,0,0,0,0,0,0,0,168122354,3319258607,1232470,3035480,1290,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11059445,6655,51778,61,0,0,0,0,1080258,43730206720,802542,35223120896,210.75,356767.296875,174.453125,3779.921874999942,2780.96875,1.5,2500.0,0.0,2500.0,295182136,157128313,0,1934167552
1705418827875.8484,0,0,0,0,0,0,0,0,168131501,3319291720,1232560,3035586,1290,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11059537,6655,51779,61,0,0,0,0,1080260,43730239488,802657,35224148992,210.75,356779.140625,174.453125,3779.999999999942,2781.109375,1.8,2500.0,0.0,2500.0,295201022,157139242,0,1934333433
1705418828873.33,0,0,0,0,0,0,0,0,168138930,3319323154,1232644,3035674,1290,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11061309,6655,51788,61,0,0,0,0,1080261,43730255872,802680,35224587264,210.75,356790.8125,174.46875,3780.078124999942,2781.203125,1.6,2500.0,0.0,2500.0,295218755,157149272,0,1934455058
1705418829863.6042,0,0,0,0,0,0,0,0,168144510,3319354581,1232717,3035762,1290,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11061309,6655,51788,61,0,0,0,0,1080261,43730255872,802707,35225287680,210.75,356802.53125,174.46875,3780.140624999942,2781.296875,1.3,2500.0,0.0,2500.0,295235354,157158670,0,1934564245
1705418830873.301,0,0,0,0,0,0,0,0,168157763,3319390437,1232814,3035875,1290,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11061309,6655,51788,61,0,0,0,0,1080261,43730255872,802724,35225463808,210.75,356814.421875,174.484375,3780.249999999942,2781.46875,2.4,2500.0,0.0,2500.0,295253347,157168726,0,1934720999
