timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1705411331835.213,0,0,0,0,0,0,0,0,130288549,3080191898,941245,2616626,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7491652,6655,35089,61,0,0,0,0,1077444,43611127296,694280,33044666368,183.546875,267613.6875,143.8125,3383.65625,2390.359375,0.0,2500.0,0.0,2500.0,221562820,110128221,0,1379729999
1705411332841.8953,0,0,0,0,0,0,0,0,130298482,3080234566,941343,2616742,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7491652,6655,35089,61,0,0,0,0,1077444,43611127296,694313,33045530624,183.546875,267625.765625,143.84375,3383.8125,2390.4375,2.2,2500.0,0.0,2500.0,221577875,110135606,0,1379838653
1705411333831.2095,0,0,0,0,0,0,0,0,130307891,3080262950,941422,2616836,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7491652,6655,35089,61,0,0,0,0,1077444,43611127296,694319,33045641216,183.546875,267637.25,143.859375,3383.890625,2390.5625,1.9,2500.0,0.0,2500.0,221593146,110142646,0,1379947702
1705411334835.3574,0,0,0,0,0,0,0,0,130313609,3080289997,941497,2616926,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7491652,6655,35089,61,0,0,0,0,1077444,43611127296,694349,33046136832,183.546875,267648.90625,143.875,3384.046875,2390.71875,2.7,2500.0,0.0,2500.0,221612333,110152019,0,1380217406
1705411335854.39,0,0,0,0,0,0,0,0,130323475,3080318513,941588,2617022,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7493332,6655,35097,61,0,0,0,0,1077444,43611127296,694378,33047066624,183.546875,267660.84375,143.875,3384.171875,2390.796875,1.7,2500.0,0.0,2500.0,221628016,110159255,0,1380331682
1705411336844.493,0,0,0,0,0,0,0,0,130344596,3080350598,941699,2617141,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7494276,6655,35102,61,0,0,0,0,1077444,43611127296,694417,33047578624,183.546875,267672.46875,143.90625,3384.390625,2390.890625,2.9,2500.0,0.0,2500.0,221643692,110167036,0,1380442323
1705411337843.0518,0,0,0,0,0,0,0,0,130353668,3080380990,941787,2617240,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7495196,6655,35107,61,0,0,0,0,1077444,43611127296,694419,33047599104,183.546875,267684.3125,143.90625,3384.515625,2391.015625,2.1,2500.0,0.0,2500.0,221659258,110174752,0,1380592282
1705411338832.2024,0,0,0,0,0,0,0,0,130362559,3080408417,941869,2617329,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7495810,6655,35109,61,0,0,0,0,1077444,43611127296,694443,33048061952,183.546875,267696.078125,143.90625,3384.609375,2391.046875,1.2,2500.0,0.0,2500.0,221675173,110182075,0,1380707870
1705411339836.9895,0,0,0,0,0,0,0,0,130369878,3080435899,941951,2617420,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7497490,6655,35117,61,0,0,0,0,1077444,43611127296,694462,33048385536,183.546875,267707.828125,143.90625,3384.703125,2391.125,1.3,2500.0,0.0,2500.0,221690001,110188808,0,1380819214
1705411340840.2751,0,0,0,0,0,0,0,0,130377055,3080469669,942034,2617515,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7497490,6655,35117,61,0,0,0,0,1077444,43611127296,694485,33048852480,183.546875,267719.8125,143.90625,3384.78125,2391.265625,1.8,2500.0,0.0,2500.0,221705817,110196376,0,1380974244
1705411341846.6968,0,0,0,0,0,0,0,0,130382951,3080522335,942112,2617709,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7497490,6655,35117,61,0,0,0,0,1077444,43611127296,694487,33048877056,183.546875,267731.484375,143.90625,3384.859375,2391.390625,1.7,2500.0,0.0,2500.0,221721589,110204238,0,1381084277
1705411342842.967,0,0,0,0,0,0,0,0,130388604,3080550715,942187,2617797,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7497490,6655,35117,61,0,0,0,0,1077444,43611127296,694506,33049339904,183.5625,267743.453125,143.90625,3384.9375,2391.453125,1.3,2500.0,0.0,2500.0,221736492,110211329,0,1381205532
1705411343832.0388,0,0,0,0,0,0,0,0,130398546,3080587958,942279,2617925,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7499170,6655,35125,61,0,0,0,0,1077444,43611127296,694540,33049843712,183.59375,267755.0,143.921875,3385.078125,2391.578125,2.6,2500.0,0.0,2500.0,221751847,110218563,0,1381374940
1705411344836.2014,0,0,0,0,0,0,0,0,130404034,3080615075,942351,2618011,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7499170,6655,35125,61,0,0,0,0,1077444,43611127296,694561,33050343424,183.59375,267766.796875,143.921875,3385.140625,2391.703125,1.6,2500.0,0.0,2500.0,221766174,110225441,0,1381485994
1705411345840.6538,0,0,0,0,0,0,0,0,130412790,3080643787,942440,2618107,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7499170,6655,35125,61,0,0,0,0,1077444,43611127296,694566,33050408960,183.59375,267778.9375,143.921875,3385.140625,2391.78125,0.6,2500.0,0.0,2500.0,221781922,110232792,0,1381598860
1705411346846.6953,0,0,0,0,0,0,0,0,130418230,3080670728,942512,2618191,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7499170,6655,35125,61,0,0,0,0,1077444,43611127296,694597,33051183104,183.59375,267790.640625,143.921875,3385.1875,2391.90625,1.4,2500.0,0.0,2500.0,221796607,110239736,0,1381718354
1705411347842.2815,0,0,0,0,0,0,0,0,130426524,3080699634,942597,2618290,1233,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7499170,6655,35125,61,0,0,0,0,1077448,43611225600,694631,33052088320,183.59375,267802.53125,143.921875,3385.296875,2392.015625,1.8,2500.0,0.0,2500.0,221812556,110247719,0,1381851144
