timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1705407228437.5796,0,0,0,0,0,0,0,0,100738352,2780611517,661979,2177932,1181,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5518001,6655,25853,61,0,0,0,0,1073846,43437557760,606204,31094415872,169.21875,219029.0,126.3125,3054.312499999971,2063.65625,4.5,2500.0,0.0,2500.0,168568206,85125592,0,990504208
1705407229425.4954,0,0,0,0,0,0,0,0,100745412,2780637374,662066,2178041,1181,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5518001,6655,25853,61,0,0,0,0,1073847,43437574144,606229,31095333376,169.21875,219040.8125,126.34375,3054.374999999971,2063.828125,2.2,2500.0,0.0,2500.0,168586202,85133248,0,990626760
1705407230429.8118,0,0,0,0,0,0,0,0,100752290,2780658604,662142,2178120,1181,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519681,6655,25861,61,0,0,0,0,1073847,43437574144,606231,31095341568,169.21875,219052.375,126.359375,3054.531249999971,2063.875,1.9,2500.0,0.0,2500.0,168603230,85141032,0,990738983
1705407231440.093,0,0,0,0,0,0,0,0,100757846,2780692136,662214,2178250,1181,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519681,6655,25861,61,0,0,0,0,1073848,43437590528,606250,31095665152,169.234375,219064.125,126.359375,3054.687499999971,2064.109375,3.3,2500.0,0.0,2500.0,168623531,85150980,0,990992970
1705407232432.4204,0,0,0,0,0,0,0,0,100763824,2780714778,662292,2178339,1181,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519681,6655,25861,61,0,0,0,0,1073848,43437590528,606273,31096283648,169.234375,219075.890625,126.359375,3054.749999999971,2064.203125,1.3,2500.0,0.0,2500.0,168641579,85159935,0,991106816
1705407233435.652,0,0,0,0,0,0,0,0,100772027,2780739314,662375,2178435,1181,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519773,6655,25862,61,0,0,0,0,1073848,43437590528,606279,31096340992,169.25,219087.8125,126.359375,3054.843749999971,2064.3125,1.8,2500.0,0.0,2500.0,168659690,85168368,0,991223998
1705407234424.3914,0,0,0,0,0,0,0,0,100777573,2780769931,662448,2178553,1181,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519865,6655,25863,61,0,0,0,0,1073848,43437590528,606306,31096795648,169.25,219099.46875,126.359375,3054.906249999971,2064.453125,1.7,2500.0,0.0,2500.0,168677247,85176769,0,991374255
1705407235427.0222,0,0,0,0,0,0,0,0,100783116,2780792266,662521,2178641,1181,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519957,6655,25864,61,0,0,0,0,1073848,43437590528,606328,31097147904,169.265625,219111.296875,126.359375,3054.984374999971,2064.546875,1.6,2500.0,0.0,2500.0,168694336,85184454,0,991485967
1705407236438.3413,0,0,0,0,0,0,0,0,100793799,2780826407,662603,2178742,1181,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519957,6655,25864,61,0,0,0,0,1073849,43437606912,606352,31097668096,169.265625,219123.15625,126.359375,3055.062499999971,2064.625,1.3,2500.0,0.0,2500.0,168712146,85192763,0,991603708
1705407237432.155,0,0,0,0,0,0,0,0,100799434,2780851250,662677,2178829,1181,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519957,6655,25864,61,0,0,0,0,1073849,43437606912,606353,31097688576,169.265625,219134.984375,126.359375,3055.078124999971,2064.796875,1.6,2500.0,0.0,2500.0,168729257,85201137,0,991752778
