timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1705421456518.2354,0,0,0,0,0,0,0,0,183592945,3374035261,1343685,3171999,1293,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12312624,6655,57637,61,0,0,0,0,1084533,43789636096,847929,36106738176,222.546875,387972.140625,187.90625,3944.71875,2967.078125,5.9,2500.0,0.0,2500.0,324682344,175430449,0,2109116273
1705421457527.7964,0,0,0,0,0,0,0,0,183601477,3374075543,1343781,3172114,1293,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12312624,6655,57637,61,0,0,0,0,1084536,43789685248,848314,36110072320,222.546875,387983.90625,187.90625,3944.765625,2967.25,1.8,2500.0,0.0,2500.0,324699623,175440650,0,2109228752
1705421458528.0225,0,0,0,0,0,0,0,0,183608737,3374109687,1343878,3172230,1293,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12312624,6655,57637,61,0,0,0,0,1084536,43789685248,848336,36110977536,222.546875,387995.71875,187.90625,3944.921875,2967.34375,2.1,2500.0,0.0,2500.0,324716438,175450450,0,2109341151
1705421459530.8818,0,0,0,0,0,0,0,0,183616603,3374142978,1343968,3172327,1293,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12314304,6655,57645,61,0,0,0,0,1084536,43789685248,848353,36111354368,222.546875,388007.375,187.921875,3945.03125,2967.546875,2.7,2500.0,0.0,2500.0,324738536,175463256,0,2109602749
1705421460522.5483,0,0,0,0,0,0,0,0,183622557,3374174658,1344046,3172416,1293,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12314304,6655,57645,61,0,0,0,0,1084536,43789685248,848355,36111415808,222.5625,388019.140625,187.953125,3945.140625,2967.640625,2.1,2500.0,0.0,2500.0,324756019,175473667,0,2109720801
1705421461524.0962,0,0,0,0,0,0,0,0,183631140,3374209032,1344135,3172515,1293,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12314396,6655,57646,61,0,0,0,0,1084536,43789685248,848379,36111927808,222.5625,388030.953125,187.953125,3945.203125,2967.78125,1.7,2500.0,0.0,2500.0,324773047,175483253,0,2109835612
1705421462518.6833,0,0,0,0,0,0,0,0,183639992,3374240646,1344217,3172605,1293,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12315010,6655,57648,61,0,0,0,0,1084536,43789685248,848401,36112427520,222.5625,388042.625,187.953125,3945.265625,2967.890625,1.5,2500.0,0.0,2500.0,324789562,175493136,0,2109984946
1705421463521.9202,0,0,0,0,0,0,0,0,183646421,3374271765,1344297,3172701,1293,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12315320,6655,57650,61,0,0,0,0,1084537,43789701632,848421,36112947712,222.5625,388054.578125,187.953125,3945.34375,2968.0,1.5,2500.0,0.0,2500.0,324806381,175502890,0,2110096266
1705421464527.9531,0,0,0,0,0,0,0,0,183652393,3374304958,1344374,3172798,1293,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12315538,6655,57651,61,0,0,0,0,1084537,43789701632,848424,36112992768,222.578125,388066.328125,187.953125,3945.484375,2968.109375,2.2,2500.0,0.0,2500.0,324823069,175512445,0,2110212760
1705421465528.7292,0,0,0,0,0,0,0,0,183657659,3374336707,1344441,3172889,1293,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12315756,6655,57652,61,0,0,0,0,1084537,43789701632,848441,36113308160,222.578125,388078.125,187.953125,3945.546875,2968.265625,1.8,2500.0,0.0,2500.0,324840493,175522961,0,2110367298
