01-17 07:48:29.443 24835 24835 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-17 07:48:29.443 24835 24835 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-17 07:48:29.443 24835 24835 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-17 07:48:29.444 24835 24835 I BatteryMgr:DataCollectionService: onStartCommand: notification done
01-17 07:48:29.446 24835 24835 I BatteryMgr:DataCollectionService: started foreground
01-17 07:48:29.449 24835 25862 I BatteryMgr:DataCollectionService: collectData: begin
01-17 07:48:29.452 24835 25862 I BatteryMgr:DataCollectionService: stats => 1705474109451,-2316893,4027
01-17 07:48:30.460 24835 25862 I BatteryMgr:DataCollectionService: stats => 1705474110459,-2309080,4027
01-17 07:48:31.467 24835 25862 I BatteryMgr:DataCollectionService: stats => 1705474111467,-2025877,4027
01-17 07:48:32.479 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474112479,-1931151,4027
01-17 07:48:33.484 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474113483,-2138670,4008
01-17 07:48:34.488 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474114488,-2141600,4008
01-17 07:48:35.492 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474115492,-1655272,4008
01-17 07:48:36.497 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474116496,-1687010,4008
01-17 07:48:37.501 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474117501,-1688963,4008
01-17 07:48:38.506 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474118506,-1999998,4008
01-17 07:48:39.510 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474119510,-1665038,4008
01-17 07:48:40.514 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474120514,-1680663,4008
01-17 07:48:41.519 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474121519,-1663085,4008
01-17 07:48:42.523 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474122523,-1689940,4008
01-17 07:48:43.527 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474123527,-1720702,4039
01-17 07:48:44.531 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474124531,-1698241,4039
01-17 07:48:45.535 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474125535,-1686034,4039
01-17 07:48:46.540 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474126540,-1687499,4039
01-17 07:48:47.544 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474127544,-1583007,4039
01-17 07:48:48.548 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474128548,-1586913,4039
01-17 07:48:49.553 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474129553,-1584471,4039
01-17 07:48:50.556 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474130556,-1576171,4039
01-17 07:48:51.561 24835 25863 I BatteryMgr:DataCollectionService: stats => 1705474131561,-1565428,4039
