timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1705475105692.8752,0,0,0,0,0,0,0,0,167070515,892972694,791873,1294022,227,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37844921,6655,177097,61,0,0,0,0,1910188,64139676160,1480038,54314415616,298.890625,1028571.234375,276.484375,5422.0625,4374.03125,3.6,2500.0,0.0,2500.0,689216862,451919062,0,3836247866
1705475106686.5908,0,0,0,0,0,0,0,0,167096469,893515335,792097,1294518,227,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37844921,6655,177097,61,0,0,0,0,1910189,64139708928,1480054,54314669568,298.890625,1028582.609375,276.484375,5422.09375,4374.703125,5.8,2500.0,0.0,2500.0,689235691,451931635,0,3836455329
1705475107694.5059,0,0,0,0,0,0,0,0,167108684,893555328,792217,1294650,227,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37846601,6655,177105,61,0,0,0,0,1910190,64139725312,1480123,54318249472,298.890625,1028594.359375,276.484375,5422.171875,4374.796875,1.4,2500.0,0.0,2500.0,689254790,451942494,0,3836577293
1705475108689.3625,0,0,0,0,0,0,0,0,167118288,893592268,792331,1294775,227,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37846601,6655,177105,61,0,0,0,0,1910190,64139725312,1480171,54318740992,298.890625,1028606.0625,276.53125,5422.34375,4374.9375,3.0,2500.0,0.0,2500.0,689280172,451956879,0,3836882053
1705475109689.7588,0,0,0,0,0,0,0,0,167149144,893628071,792438,1294880,227,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37846601,6655,177105,61,0,0,0,0,1910190,64139725312,1480199,54319183360,298.890625,1028617.875,276.53125,5422.421875,4375.09375,1.9,2500.0,0.0,2500.0,689298759,451967148,0,3837001916
1705475110697.138,0,0,0,0,0,0,0,0,167154712,893661333,792512,1294970,227,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37846693,6655,177106,61,0,0,0,0,1910190,64139725312,1480200,54319195648,298.890625,1028629.734375,276.53125,5422.5625,4375.234375,2.3,2500.0,0.0,2500.0,689316711,451977346,0,3837121514
1705475111689.6108,0,0,0,0,0,0,0,0,167162158,893694631,792596,1295060,227,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37848465,6655,177115,61,0,0,0,0,1910190,64139725312,1480219,54319572480,298.890625,1028641.34375,276.546875,5422.703125,4375.3125,2.0,2500.0,0.0,2500.0,689334277,451987501,0,3837277640
1705475112691.555,0,0,0,0,0,0,0,0,167171156,893728852,792680,1295159,227,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37849079,6655,177117,61,0,0,0,0,1910190,64139725312,1480237,54319928832,298.890625,1028653.03125,276.546875,5422.84375,4375.421875,2.1,2500.0,0.0,2500.0,689352207,451997834,0,3837396694
1705475113697.4673,0,0,0,0,0,0,0,0,167178952,893763272,792759,1295254,227,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37849079,6655,177117,61,0,0,0,0,1910190,64139725312,1480273,54320465408,298.90625,1028664.96875,276.546875,5422.96875,4375.546875,2.2,2500.0,0.0,2500.0,689370567,452007351,0,3837522723
1705475114686.7227,0,0,0,0,0,0,0,0,167184824,893821864,792837,1295450,227,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37849079,6655,177117,61,0,0,0,0,1910190,64139725312,1480286,54320543232,298.90625,1028676.515625,276.546875,5423.0625,4375.734375,2.4,2500.0,0.0,2500.0,689388914,452017882,0,3837688070
