timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1705568325181.1948,0,0,0,0,0,0,0,0,334164823,682148801,602635,845873,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43765798,6655,204843,61,0,0,0,0,2591639,80756972032,1802227,65975958528,353.078125,1174921.09375,328.125,6290.187499999767,5605.406249999999,3.2,2500.0,0.0,2500.0,827241718,528523340,0,394592938
1705568326185.0107,0,0,0,0,0,0,0,0,334174515,682179826,602733,846038,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43767478,6655,204851,61,0,0,0,0,2591661,80759507456,1802590,66006584320,353.078125,1174932.609375,328.125,6290.296874999767,5605.843749999999,4.5,2500.0,0.0,2500.0,827260897,528535355,0,394800313
1705568327179.831,0,0,0,0,0,0,0,0,334184091,682200134,602811,846131,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43767570,6655,204852,61,0,0,0,0,2591661,80759507456,1802595,66006731776,353.09375,1174944.234375,328.125,6290.421874999767,5605.953124999999,2.1,2500.0,0.0,2500.0,827276791,528543509,0,394939129
1705568328182.3052,0,0,0,0,0,0,0,0,334199564,682212967,602884,846206,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43769434,6655,204862,61,0,0,0,0,2591661,80759507456,1802597,66006752256,353.09375,1174956.140625,328.125,6290.515624999767,5606.078124999999,1.8,2500.0,0.0,2500.0,827290110,528550235,0,395087520
1705568329183.5212,0,0,0,0,0,0,0,0,334203832,682226789,602939,846285,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43769434,6655,204862,61,0,0,0,0,2591661,80759507456,1802605,66007469056,353.09375,1174967.765625,328.125,6290.640624999767,5606.203124999999,2.1,2500.0,0.0,2500.0,827305018,528557006,0,395230046
1705568330186.3113,0,0,0,0,0,0,0,0,334214096,682250850,603047,846425,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43769434,6655,204862,61,0,0,0,0,2591661,80759507456,1802606,66007477248,353.109375,1174979.546875,328.125,6290.734374999767,5606.374999999999,2.3,2500.0,0.0,2500.0,827323962,528566899,0,395367138
1705568331182.644,0,0,0,0,0,0,0,0,334222086,682265377,603116,846511,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43769956,6655,204863,61,0,0,0,0,2591661,80759507456,1802608,66007575552,353.125,1174991.34375,328.125,6290.874999999767,5606.499999999999,2.3,2500.0,0.0,2500.0,827338779,528575065,0,395478624
1705568332188.686,0,0,0,0,0,0,0,0,334237998,682279909,603195,846599,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43771636,6655,204871,61,0,0,0,0,2591661,80759507456,1802611,66007608320,353.140625,1175002.875,328.125,6291.078124999767,5606.828124999999,4.5,2500.0,0.0,2500.0,827353626,528582842,0,395621881
1705568333185.976,0,0,0,0,0,0,0,0,334250047,682305832,603288,846719,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43771636,6655,204871,61,0,0,0,0,2591661,80759507456,1802612,66007641088,353.15625,1175014.625,328.125,6291.140624999767,5606.921874999999,1.4,2500.0,0.0,2500.0,827369481,528590841,0,395737946
1705568334175.943,0,0,0,0,0,0,0,0,334258324,682329141,603358,846829,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43771636,6655,204871,61,0,0,0,0,2591661,80759507456,1802615,66007727104,353.15625,1175026.21875,328.125,6291.343749999767,5607.046874999999,2.8,2500.0,0.0,2500.0,827382726,528597468,0,395835269
1705568335186.7002,0,0,0,0,0,0,0,0,334266032,682345959,603430,846926,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43771636,6655,204871,61,0,0,0,0,2591661,80759507456,1802616,66007751680,353.15625,1175038.265625,328.125,6291.437499999767,5607.140624999999,1.5,2500.0,0.0,2500.0,827398306,528604722,0,395984248
1705568336183.328,0,0,0,0,0,0,0,0,334272466,682366064,603513,847040,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43771636,6655,204871,61,0,0,0,0,2591661,80759507456,1802617,66007792640,353.171875,1175049.828125,328.125,6291.546874999767,5607.265624999999,2.1,2500.0,0.0,2500.0,827414668,528612583,0,396114006
1705568337177.2795,0,0,0,0,0,0,0,0,334277986,682381491,603578,847133,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43771636,6655,204871,61,0,0,0,0,2591662,80759556608,1802628,66008144896,353.171875,1175061.46875,328.125,6291.640624999767,5607.406249999999,2.0,2500.0,0.0,2500.0,827429161,528619851,0,396247982
1705568338173.6516,0,0,0,0,0,0,0,0,334282838,682396398,603641,847219,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43771636,6655,204871,61,0,0,0,0,2591662,80759556608,1802629,66008161280,353.171875,1175073.265625,328.125,6291.749999999767,5607.562499999999,2.2,2500.0,0.0,2500.0,827443999,528627225,0,396394934
1705568339181.3022,0,0,0,0,0,0,0,0,334287779,682411317,603705,847305,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43771636,6655,204871,61,0,0,0,0,2591667,80760031744,1802764,66014297088,353.171875,1175085.09375,328.125,6291.859374999767,5607.640624999999,1.6,2500.0,0.0,2500.0,827459522,528634534,0,396502970
1705568340187.4065,0,0,0,0,0,0,0,0,334293987,682422577,603769,847379,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43773316,6655,204879,61,0,0,0,0,2591667,80760031744,1802804,66015546368,353.171875,1175096.828125,328.125,6291.999999999767,5607.812499999999,2.6,2500.0,0.0,2500.0,827472960,528640695,0,396603175
1705568341185.0474,0,0,0,0,0,0,0,0,334300469,682437664,603839,847466,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43774996,6655,204887,61,0,0,0,0,2591667,80760031744,1802805,66015558656,353.171875,1175108.578125,328.140625,6292.124999999767,5607.984374999999,2.6,2500.0,0.0,2500.0,827488610,528648354,0,396749612
1705568342175.3076,0,0,0,0,0,0,0,0,334311910,682453738,603905,847553,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43774996,6655,204887,61,0,0,0,0,2591668,80760048128,1802873,66016304128,353.171875,1175120.375,328.140625,6292.187499999767,5608.109374999999,1.6,2500.0,0.0,2500.0,827503934,528655837,0,396857536
1705568343185.7678,0,0,0,0,0,0,0,0,334318278,682468107,603973,847632,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43776676,6655,204895,61,0,0,0,0,2591668,80760048128,1802905,66016861184,353.1875,1175132.328125,328.140625,6292.249999999767,5608.218749999999,1.5,2500.0,0.0,2500.0,827519620,528663057,0,396976679
1705568344175.9475,0,0,0,0,0,0,0,0,334323086,682483142,604035,847720,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43776866,6655,204897,61,0,0,0,0,2591668,80760048128,1802910,66016963584,353.203125,1175143.921875,328.140625,6292.328124999767,5608.359374999999,2.0,2500.0,0.0,2500.0,827534752,528670349,0,397121153
1705568345173.355,0,0,0,0,0,0,0,0,334328538,682498673,604104,847814,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43777056,6655,204899,61,0,0,0,0,2591668,80760048128,1802925,66017332224,353.203125,1175155.640625,328.140625,6292.406249999767,5608.515624999999,2.0,2500.0,0.0,2500.0,827549928,528677488,0,397232452
1705568346178.325,0,0,0,0,0,0,0,0,334333708,682514084,604170,847906,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43777056,6655,204899,61,0,0,0,0,2591668,80760048128,1802951,66017729536,353.203125,1175167.453125,328.15625,6292.499999999767,5608.624999999999,1.8,2500.0,0.0,2500.0,827564769,528684259,0,397342275
1705568347189.1182,0,0,0,0,0,0,0,0,334340057,682529319,604238,847995,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43778736,6655,204907,61,0,0,0,0,2591668,80760048128,1802969,66018171904,353.203125,1175179.40625,328.15625,6292.609374999767,5608.765624999999,2.0,2500.0,0.0,2500.0,827579194,528691206,0,397480675
1705568348176.0955,0,0,0,0,0,0,0,0,334345431,682544384,604301,848083,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43778736,6655,204907,61,0,0,0,0,2591668,80760048128,1802973,66018364416,353.203125,1175190.859375,328.15625,6292.687499999767,5608.953124999999,2.3,2500.0,0.0,2500.0,827593931,528698010,0,397591943
1705568349184.6545,0,0,0,0,0,0,0,0,334350814,682561828,604370,848182,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43778736,6655,204907,61,0,0,0,0,2591670,80760113664,1803008,66019130368,353.203125,1175202.8125,328.15625,6292.828124999767,5609.062499999999,2.0,2500.0,0.0,2500.0,827610567,528706044,0,397713927
1705568350177.631,0,0,0,0,0,0,0,0,334355306,682576722,604429,848261,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43778736,6655,204907,61,0,0,0,0,2591670,80760113664,1803028,66019568640,353.203125,1175214.453125,328.171875,6292.890624999767,5609.218749999999,2.0,2500.0,0.0,2500.0,827624488,528712832,0,397848168
1705568351185.511,0,0,0,0,0,0,0,0,334359706,682591407,604486,848344,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43778736,6655,204907,61,0,0,0,0,2591670,80760113664,1803049,66019949568,353.21875,1175226.328125,328.171875,6293.031249999767,5609.359374999999,2.4,2500.0,0.0,2500.0,827638827,528719482,0,397952346
