timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1705566857803.4028,0,0,0,0,0,0,0,0,186298601,644021164,415627,701967,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43068169,6655,201578,61,0,0,0,0,2589848,80666731520,1764786,65071014400,347.296875,1157683.1875,321.5625,6145.281249999767,5379.625,3.0,2500.0,0.0,2500.0,801971576,515124451,0,238811515
1705566858797.3445,0,0,0,0,0,0,0,0,186304183,644037379,415700,702066,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43068169,6655,201578,61,0,0,0,0,2589848,80666731520,1764813,65071587840,347.296875,1157694.84375,321.5625,6145.328124999767,5379.78125,1.7,2500.0,0.0,2500.0,801985264,515132401,0,238908356
1705566859810.2175,0,0,0,0,0,0,0,0,186323660,644060332,415809,702198,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43068169,6655,201578,61,0,0,0,0,2589848,80666731520,1764830,65071915520,347.296875,1157706.90625,321.5625,6145.406249999767,5379.859375,1.3,2500.0,0.0,2500.0,801999159,515139945,0,239009789
1705566860803.852,0,0,0,0,0,0,0,0,186331791,644076340,415881,702290,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43068997,6655,201582,61,0,0,0,0,2589848,80666731520,1764835,65072050688,347.296875,1157718.71875,321.5625,6145.484374999767,5379.90625,1.1,2500.0,0.0,2500.0,802013282,515147372,0,239110853
1705566861801.9792,0,0,0,0,0,0,0,0,186353796,644092368,415955,702375,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43069849,6655,201586,61,0,0,0,0,2589848,80666731520,1764860,65072333312,347.296875,1157730.640625,321.5625,6145.578124999767,5379.984375,1.4,2500.0,0.0,2500.0,802026542,515154471,0,239206351
1705566862804.6406,0,0,0,0,0,0,0,0,186358630,644107186,416018,702460,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43069849,6655,201586,61,0,0,0,0,2589849,80666764288,1764887,65073230336,347.296875,1157742.34375,321.578125,6145.656249999767,5380.09375,1.7,2500.0,0.0,2500.0,802039695,515161385,0,239301768
1705566863798.1045,0,0,0,0,0,0,0,0,186362439,644117926,416067,702526,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43069849,6655,201586,61,0,0,0,0,2589849,80666764288,1764888,65073238528,347.296875,1157754.125,321.578125,6145.734374999767,5380.203125,1.6,2500.0,0.0,2500.0,802051182,515167489,0,239385965
1705566864798.8452,0,0,0,0,0,0,0,0,186366793,644140852,416122,702641,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43069849,6655,201586,61,0,0,0,0,2589849,80666764288,1764905,65073611264,347.296875,1157765.984375,321.578125,6145.749999999767,5380.296875,0.9,2500.0,0.0,2500.0,802063321,515173566,0,239474186
1705566865798.2622,0,0,0,0,0,0,0,0,186374023,644161876,416216,702767,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43069849,6655,201586,61,0,0,0,0,2589849,80666764288,1764923,65073877504,347.296875,1157777.734375,321.578125,6145.859374999767,5380.40625,1.8,2500.0,0.0,2500.0,802079527,515182148,0,239587258
1705566866801.543,0,0,0,0,0,0,0,0,186377769,644172354,416264,702829,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43069849,6655,201586,61,0,0,0,0,2589849,80666764288,1764941,65074287104,347.296875,1157789.78125,321.578125,6145.921874999767,5380.484375,1.2,2500.0,0.0,2500.0,802090930,515187939,0,239673773
1705566867794.3237,0,0,0,0,0,0,0,0,186382290,644186985,416322,702911,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43069849,6655,201586,61,0,0,0,0,2589849,80666764288,1764942,65074303488,347.296875,1157801.34375,321.578125,6146.03125,5380.625,2.1,2500.0,0.0,2500.0,802104304,515194868,0,239769483
1705566868803.4404,0,0,0,0,0,0,0,0,186389051,644206171,416403,703019,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43070677,6655,201590,61,0,0,0,0,2589850,80666862592,1764960,65074786816,347.296875,1157813.3125,321.578125,6146.109375,5380.703125,1.3,2500.0,0.0,2500.0,802119242,515203120,0,239890218
1705566869795.6296,0,0,0,0,0,0,0,0,186395469,644221045,416472,703105,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43072357,6655,201598,61,0,0,0,0,2589851,80666878976,1764983,65075208704,347.296875,1157824.90625,321.578125,6146.234375,5380.828125,2.1,2500.0,0.0,2500.0,802132499,515210561,0,240016277
1705566870803.422,0,0,0,0,0,0,0,0,186400961,644235639,416536,703187,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43073209,6655,201602,61,0,0,0,0,2589851,80666878976,1765009,65075511808,347.296875,1157836.78125,321.578125,6146.3125,5380.921875,1.4,2500.0,0.0,2500.0,802145952,515217652,0,240111727
1705566871809.1914,0,0,0,0,0,0,0,0,186406593,644250607,416602,703274,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43074037,6655,201606,61,0,0,0,0,2589851,80666878976,1765011,65075585536,347.296875,1157848.671875,321.578125,6146.40625,5381.078125,2.1,2500.0,0.0,2500.0,802158808,515224779,0,240207441
1705566872805.1694,0,0,0,0,0,0,0,0,186411793,644263561,416662,703348,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43074889,6655,201610,61,0,0,0,0,2589852,80666928128,1765057,65076072960,347.296875,1157860.546875,321.578125,6146.46875,5381.15625,1.2,2500.0,0.0,2500.0,802171262,515231374,0,240300137
1705566873804.0576,0,0,0,0,0,0,0,0,186415492,644275495,416710,703415,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43074889,6655,201610,61,0,0,0,0,2589853,80666993664,1765073,65076412928,347.296875,1157872.40625,321.578125,6146.59375,5381.21875,1.6,2500.0,0.0,2500.0,802182741,515237231,0,240379262
1705566874810.129,0,0,0,0,0,0,0,0,186421166,644291770,416783,703513,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43074889,6655,201610,61,0,0,0,0,2589854,80667042816,1765093,65076892160,347.296875,1157884.15625,321.578125,6146.703125,5381.328125,1.8,2500.0,0.0,2500.0,802197199,515244600,0,240484916
1705566875796.3677,0,0,0,0,0,0,0,0,186427004,644306803,416851,703600,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43075717,6655,201614,61,0,0,0,0,2589854,80667042816,1765094,65076908544,347.296875,1157895.765625,321.578125,6146.8125,5381.484375,2.2,2500.0,0.0,2500.0,802210562,515251561,0,240580138
1705566876807.1702,0,0,0,0,0,0,0,0,186432976,644321659,416919,703685,223,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43076787,6655,201619,61,0,0,0,0,2589856,80667141120,1765116,65077342720,347.296875,1157907.703125,321.578125,6146.890625,5381.625,1.8,2500.0,0.0,2500.0,802223398,515258146,0,240676959
