--------- beginning of main
01-18 09:34:17.064  1974 32022 I VrApi   : FPS=90/90,Prd=22ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=4/4,1920/545MHz,OC=3F,TA=0/3C/0,SP=N/F/N,Mem=2092MHz,Free=3812MB,PLS=0,Temp=44.0C/0.0C,TW=1.33ms,App=2.10ms,GD=0.00ms,CPU&GPU=3.22ms,LCnt=3(DR91,LM2),GPU%=0.34,CPU%=0.29(W0.33),DSF=1.04,CFL=10.37/14.57,ICFLp95=13.40,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:18.064  1974 32022 I VrApi   : FPS=90/90,Prd=20ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=4/4,1920/545MHz,OC=3F,TA=0/3C/0,SP=N/F/N,Mem=2736MHz,Free=3812MB,PLS=0,Temp=44.0C/0.0C,TW=1.34ms,App=2.09ms,GD=0.00ms,CPU&GPU=1.77ms,LCnt=3(DR90,LM2),GPU%=0.33,CPU%=0.27(W0.32),DSF=1.04,CFL=10.83/14.72,ICFLp95=13.48,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:18.066  1974  2371 I VrApi   : OVR::Stats thread Suspend
01-18 09:34:18.075  1974  2371 I VrApi   : OVR::Stats thread stopped
01-18 09:34:18.156  2608  3090 I VrApi   : OVR::Stats thread Resume
01-18 09:34:18.166  2370  2935 I VrApi   : OVR::Stats thread Suspend
01-18 09:34:18.169  2608  3090 I VrApi   : OVR::Stats thread started
01-18 09:34:18.177  2370  2935 I VrApi   : OVR::Stats thread stopped
01-18 09:34:18.742   493   550 I VrApi   : ----------- vrapi_Initialize [start] ----------
01-18 09:34:18.752   493   550 I VrApi   : Client type: 0 flags: 0x0 placement: 0
01-18 09:34:18.868   493   550 I VrApi   : vrapi_Initialize: Connected to VrRuntimeService after 0.115757s
01-18 09:34:18.995   493   550 I VrApi   : SkipPushFinalBlack=1
01-18 09:34:18.995   493   550 I VrApi   : isActivityFocusAware = 1
01-18 09:34:19.005   493   550 I VrApi   : ----------- vrapi_Initialize [end] ----------
01-18 09:34:19.005   493   550 I VrApi   : ------------ vrapi_Shutdown [start] -----------
01-18 09:34:19.005   493   550 W VrApi   : IsOvrValid: ovr == nullptr. Package: com.forcefieldxr.explorevr
01-18 09:34:19.008   493   550 I VrApi   : ------------ vrapi_Shutdown [end] -----------
01-18 09:34:19.932   493   550 I VrApi   : ----------- vrapi_Initialize [start] ----------
01-18 09:34:19.940   493   550 I VrApi   : Client type: 0 flags: 0x0 placement: 0
01-18 09:34:20.057   493   550 I VrApi   : vrapi_Initialize: Connected to VrRuntimeService after 0.116643s
01-18 09:34:20.081   493   550 I VrApi   : SkipPushFinalBlack=1
01-18 09:34:20.081   493   550 I VrApi   : isActivityFocusAware = 1
01-18 09:34:20.098   493   550 I VrApi   : ----------- vrapi_Initialize [end] ----------
01-18 09:34:20.102   493   550 I VrApi   : ---------- vrapi_EnterVrMode [start] ----------
01-18 09:34:20.123   493   550 I VrApi   : ovrModeParms::VRAPI_MODE_FLAG_RESET_WINDOW_FULLSCREEN = 1
01-18 09:34:20.123   493   550 I VrApi   : ovrModeParms::VRAPI_MODE_FLAG_NATIVE_WINDOW = 1
