timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1706562756922.5396,0,0,0,0,0,0,0,0,386985926,4818605716,1212283,3502732,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18260115,0,77661,0,0,0,0,0,548529,20814636544,759042,24474855936,52.578125,386671.42187499994,53.453125,1084.1250000000582,965.1875,2.8,2500.0,0.0,2500.0,160583356,89366395,0,919457676
1706562757930.0654,0,0,0,0,0,0,0,0,386990202,4818610774,1212333,3502798,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18260115,0,77661,0,0,0,0,0,548529,20814636544,759046,24474958336,52.59375,386683.35937499994,53.46875,1084.2187500000582,965.3125,2.1,2500.0,0.0,2500.0,160597079,89373318,0,919556087
1706562758930.0325,0,0,0,0,0,0,0,0,386994021,4818614934,1212376,3502854,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18260115,0,77661,0,0,0,0,0,548529,20814636544,759047,24474962432,52.59375,386695.20312499994,53.46875,1084.3437500000582,965.40625,1.8,2500.0,0.0,2500.0,160610196,89379995,0,919652987
1706562759922.1812,0,0,0,0,0,0,0,0,386998301,4818619446,1212423,3502915,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18260115,0,77661,0,0,0,0,0,548529,20814636544,759049,24474974720,52.609375,386706.76562499994,53.484375,1084.5000000000582,965.5,2.4,2500.0,0.0,2500.0,160624250,89387580,0,919749469
1706562760932.9949,0,0,0,0,0,0,0,0,387003659,4818623606,1212472,3502971,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18261795,0,77669,0,0,0,0,0,548529,20814636544,759050,24474982912,52.625,386718.76562499994,53.484375,1084.5625000000582,965.59375,1.4,2500.0,0.0,2500.0,160638026,89395132,0,919851583
1706562761927.1396,0,0,0,0,0,0,0,0,387007481,4818627944,1212515,3503029,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18261795,0,77669,0,0,0,0,0,548529,20814636544,759051,24474995200,52.625,386730.42187499994,53.484375,1084.6875000000582,965.65625,1.6,2500.0,0.0,2500.0,160651326,89401586,0,919946073
1706562762934.9822,0,0,0,0,0,0,0,0,387011655,4818632638,1212562,3503091,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18261795,0,77669,0,0,0,0,0,548529,20814636544,759159,24475675136,52.625,386742.34374999994,53.484375,1084.7968750000582,965.765625,1.8,2500.0,0.0,2500.0,160664992,89408658,0,920042380
1706562763933.652,0,0,0,0,0,0,0,0,387015301,4818637173,1212603,3503149,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18261795,0,77669,0,0,0,0,0,548529,20814636544,759160,24475687424,52.625,386754.23437499994,53.5,1084.8437500000582,965.875,1.4,2500.0,0.0,2500.0,160679120,89416581,0,920138616
1706562764932.4895,0,0,0,0,0,0,0,0,387018947,4818641333,1212644,3503205,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18261795,0,77669,0,0,0,0,0,548529,20814636544,759196,24476219904,52.625,386766.01562499994,53.5,1084.8906250000582,966.03125,1.7,2500.0,0.0,2500.0,160692232,89423183,0,920233844
1706562765925.1736,0,0,0,0,0,0,0,0,387022951,4818645973,1212689,3503267,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18261795,0,77669,0,0,0,0,0,548530,20814652928,759206,24476727808,52.640625,386777.57812499994,53.5,1085.0625000000582,966.109375,2.2,2500.0,0.0,2500.0,160706262,89430905,0,920335590
1706562766936.284,0,0,0,0,0,0,0,0,387026597,4818650133,1212730,3503323,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18261795,0,77669,0,0,0,0,0,548530,20814652928,759207,24476744192,52.65625,386789.53124999994,53.5,1085.1875000000582,966.234375,2.2,2500.0,0.0,2500.0,160720191,89438563,0,920434210
1706562767932.5183,0,0,0,0,0,0,0,0,387030307,4818654357,1212772,3503380,1657,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18261795,0,77669,0,0,0,0,0,548532,20814685696,759224,24477153792,52.65625,386801.35937499994,53.5,1085.2500000000582,966.328125,1.3,2500.0,0.0,2500.0,160733286,89445103,0,920529450
