01-19 20:13:35.431 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 20:13:35.432 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 20:13:35.432 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 20:13:35.432 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: notification done
01-19 20:13:35.434 17982 17982 I BatteryMgr:DataCollectionService: started foreground
01-19 20:13:35.435 17982 18011 I BatteryMgr:DataCollectionService: collectData: begin
01-19 20:13:35.437 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691615437,-2208306,3732
01-19 20:13:36.438 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691616438,-2611514,3732
01-19 20:13:37.440 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691617440,-2528749,3732
01-19 20:13:38.442 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691618442,-1753827,3693
01-19 20:13:39.444 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691619444,-1666667,3693
01-19 20:13:40.448 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691620448,-1329012,3693
01-19 20:13:42.454 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691622454,-1761151,3715
01-19 20:13:43.456 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691623455,-1289460,3715
01-19 20:13:44.457 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691624457,-1016260,3715
01-19 20:13:45.460 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691625460,-1191679,3715
01-19 20:13:46.463 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691626463,-1013330,3715
01-19 20:13:47.465 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691627465,-1096096,3715
01-19 20:13:48.467 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691628467,-1290559,3764
01-19 20:13:49.469 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691629469,-1136746,3764
01-19 20:13:50.471 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691630471,-1064601,3764
01-19 20:13:51.473 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691631473,-1318392,3764
01-19 20:13:52.476 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691632476,-1185454,3764
01-19 20:13:53.478 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691633478,-1215484,3764
01-19 20:13:54.480 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691634480,-1213653,3764
01-19 20:13:55.483 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691635482,-1365268,3764
01-19 20:13:56.486 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691636486,-1304475,3764
01-19 20:13:57.488 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691637488,-1408848,3764
01-19 20:13:58.490 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691638490,-1267121,3753
01-19 20:13:59.493 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691639493,-1349154,3753
01-19 20:14:00.496 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691640496,-1168241,3753
01-19 20:14:01.497 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691641497,-1314363,3753
01-19 20:14:02.500 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691642500,-1494910,3753
01-19 20:14:03.502 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691643502,-1394199,3753
01-19 20:14:04.504 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691644504,-1151395,3753
01-19 20:14:05.506 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691645506,-1293122,3753
01-19 20:14:06.508 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691646508,-1108181,3753
01-19 20:14:07.510 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691647510,-1329378,3753
01-19 20:14:08.513 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691648512,-1333407,3754
01-19 20:14:09.515 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691649515,-1274445,3754
01-19 20:14:10.516 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691650516,-1163114,3754
01-19 20:14:11.518 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691651518,-1234527,3754
01-19 20:14:12.526 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691652526,-1272980,3754
01-19 20:14:13.528 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691653528,-1353915,3754
01-19 20:14:14.529 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691654529,-1351718,3754
01-19 20:14:15.532 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691655532,-1083278,3745
01-19 20:14:16.540 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691656539,-1292024,3745
01-19 20:14:17.542 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691657542,-1181425,3745
01-19 20:14:18.544 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691658544,-1323152,3752
01-19 20:14:19.547 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691659547,-1265290,3752
01-19 20:14:20.549 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691660549,-1260163,3752
01-19 20:14:21.551 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691661551,-1244781,3752
01-19 20:14:22.553 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691662553,-1276642,3752
01-19 20:14:23.555 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691663555,-1561928,3752
01-19 20:14:24.557 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691664557,-1479895,3752
01-19 20:14:25.560 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691665560,-1226104,3752
01-19 20:14:26.562 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691666562,-1187651,3752
01-19 20:14:27.564 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691667564,-977074,3752
01-19 20:14:28.566 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691668566,-1336336,3762
01-19 20:14:29.568 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691669568,-1303743,3762
01-19 20:14:30.570 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691670570,-1176664,3762
01-19 20:14:31.573 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691671573,-1296785,3762
01-19 20:14:32.575 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691672575,-1156156,3762
01-19 20:14:33.583 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691673583,-1096096,3762
01-19 20:14:34.585 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691674585,-1339998,3762
01-19 20:14:35.587 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691675587,-1318758,3762
01-19 20:14:36.589 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691676589,-1000146,3762
01-19 20:14:37.592 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691677592,-1171171,3762
01-19 20:14:38.594 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691678594,-1045924,3756
01-19 20:14:39.596 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705691679596,-1002710,3756
