01-19 20:04:01.816 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 20:04:01.816 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 20:04:01.816 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 20:04:01.817 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: notification done
01-19 20:04:01.819 17982 17982 I BatteryMgr:DataCollectionService: started foreground
01-19 20:04:01.823 17982 18011 I BatteryMgr:DataCollectionService: collectData: begin
01-19 20:04:01.824 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691041824,-1589761,3725
01-19 20:04:02.826 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691042826,-2336849,3725
01-19 20:04:03.831 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691043831,-2146415,3725
01-19 20:04:04.832 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691044832,-1429356,3725
01-19 20:04:05.835 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691045835,-1447301,3725
01-19 20:04:06.837 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691046837,-1275910,3725
01-19 20:04:07.839 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691047839,-1527137,3769
01-19 20:04:08.841 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691048841,-1765912,3769
01-19 20:04:09.845 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691049845,-1925218,3769
01-19 20:04:10.847 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691050847,-901267,3769
01-19 20:04:11.849 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691051849,-1112942,3769
01-19 20:04:12.851 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691052851,-1140042,3769
01-19 20:04:13.853 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705691053853,-946312,3769
