01-19 20:27:54.947 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 20:27:54.947 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 20:27:54.947 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 20:27:54.948 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: notification done
01-19 20:27:54.950 17982 17982 I BatteryMgr:DataCollectionService: started foreground
01-19 20:27:54.952 17982 18011 I BatteryMgr:DataCollectionService: collectData: begin
01-19 20:27:54.953 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692474953,-1957812,3676
01-19 20:27:55.955 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692475955,-2094412,3676
01-19 20:27:56.960 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692476960,-2593203,3676
01-19 20:27:57.962 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692477962,-2693914,3676
01-19 20:27:58.965 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692478965,-2673406,3698
01-19 20:27:59.967 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692479967,-1688274,3698
01-19 20:28:00.972 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692480972,-1482092,3698
01-19 20:28:01.974 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692481974,-1294587,3698
01-19 20:28:02.976 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692482976,-2783638,3698
01-19 20:28:03.978 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692483978,-2384824,3698
01-19 20:28:04.981 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692484981,-2608218,3698
01-19 20:28:05.984 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692485984,-1923021,3698
01-19 20:28:06.986 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692486986,-1543251,3698
01-19 20:28:07.987 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692487987,-1395664,3698
01-19 20:28:08.994 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692488994,-1268586,3694
01-19 20:28:09.996 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692489996,-1440709,3694
01-19 20:28:10.998 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692490998,-2014210,3638
01-19 20:28:12.002 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692492002,-1640665,3638
01-19 20:28:13.005 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692493005,-1336703,3638
01-19 20:28:14.010 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692494010,-1259796,3638
01-19 20:28:15.013 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692495013,-1406284,3669
01-19 20:28:16.015 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692496015,-1597451,3669
01-19 20:28:17.017 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692497017,-2178642,3669
01-19 20:28:18.020 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692498020,-1629679,3669
01-19 20:28:19.021 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692499021,-1418003,3715
01-19 20:28:20.025 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692500025,-1661173,3715
01-19 20:28:21.028 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692501028,-1598184,3715
01-19 20:28:22.032 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692502032,-1739545,3715
01-19 20:28:23.034 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692503034,-2329159,3715
01-19 20:28:24.038 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692504038,-2574160,3715
01-19 20:28:25.041 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692505041,-2741889,3715
01-19 20:28:26.043 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692506043,-1258698,3715
01-19 20:28:27.044 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692507044,-1502600,3715
01-19 20:28:28.047 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692508047,-2233209,3715
01-19 20:28:29.051 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692509051,-2651066,3631
01-19 20:28:30.053 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692510053,-2630558,3631
01-19 20:28:31.056 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692511056,-2531678,3631
01-19 20:28:32.061 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692512061,-2287043,3631
01-19 20:28:33.063 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692513063,-1487951,3631
01-19 20:28:34.064 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692514064,-2210503,3631
01-19 20:28:35.066 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692515066,-2443053,3631
01-19 20:28:36.068 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692516068,-2832711,3631
01-19 20:28:37.073 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692517073,-2168754,3631
01-19 20:28:38.075 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692518075,-1936937,3631
01-19 20:28:39.076 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692519076,-1663371,3713
01-19 20:28:40.079 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692520079,-1354647,3713
01-19 20:28:41.082 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692521082,-2626529,3713
01-19 20:28:42.086 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692522086,-2825387,3713
01-19 20:28:43.087 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692523087,-2174248,3713
01-19 20:28:44.089 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692524089,-1842819,3713
01-19 20:28:45.091 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692525091,-1622354,3713
01-19 20:28:46.094 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692526094,-1457555,3713
01-19 20:28:47.096 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692527096,-1110745,3713
01-19 20:28:48.098 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692528098,-2427672,3713
01-19 20:28:49.101 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692529101,-2074270,3689
01-19 20:28:50.105 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692530105,-1762616,3689
01-19 20:28:51.108 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692531108,-1680583,3689
01-19 20:28:52.110 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692532110,-1164579,3689
01-19 20:28:53.116 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692533115,-1305208,3689
01-19 20:28:54.117 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692534117,-1604409,3689
01-19 20:28:55.120 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692535120,-1972460,3689
01-19 20:28:56.123 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692536123,-1674724,3689
01-19 20:28:57.130 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692537130,-1510657,3689
01-19 20:28:58.132 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692538132,-1364535,3689
01-19 20:28:59.134 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692539134,-1168608,3665
01-19 20:29:00.137 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692540137,-1890427,3665
01-19 20:29:01.140 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692541140,-2199151,3665
01-19 20:29:02.142 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692542142,-2733466,3665
01-19 20:29:03.143 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692543143,-1438512,3665
01-19 20:29:04.145 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692544145,-1075954,3665
01-19 20:29:05.148 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692545148,-1263092,3665
01-19 20:29:06.154 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692546154,-2060719,3665
01-19 20:29:07.156 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692547156,-2246027,3665
01-19 20:29:08.160 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692548160,-2744818,3665
01-19 20:29:09.163 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692549163,-2477112,3673
01-19 20:29:10.165 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692550165,-1154691,3673
01-19 20:29:11.168 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692551168,-1507727,3673
01-19 20:29:12.171 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692552171,-2012012,3673
01-19 20:29:13.174 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692553174,-2166191,3673
01-19 20:29:14.176 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692554176,-2590640,3673
01-19 20:29:15.178 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692555178,-2438658,3673
01-19 20:29:16.181 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692556181,-2210870,3673
01-19 20:29:17.183 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692557183,-1760053,3673
01-19 20:29:18.185 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692558185,-2035450,3673
01-19 20:29:19.188 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692559187,-2707098,3697
01-19 20:29:20.189 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692560189,-2610416,3697
01-19 20:29:21.195 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692561195,-2792061,3697
01-19 20:29:22.196 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692562196,-2362485,3697
01-19 20:29:23.198 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692563198,-2035816,3697
01-19 20:29:24.202 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692564202,-1535560,3697
01-19 20:29:25.204 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692565204,-1130521,3697
01-19 20:29:26.207 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692566207,-2871164,3697
01-19 20:29:27.209 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692567209,-2391782,3697
01-19 20:29:28.211 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692568211,-1991504,3697
01-19 20:29:29.213 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692569213,-1333040,3637
01-19 20:29:30.216 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692570216,-1366000,3637
01-19 20:29:31.218 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692571218,-1099026,3637
01-19 20:29:32.222 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692572222,-1416538,3637
01-19 20:29:33.224 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692573224,-2188896,3637
01-19 20:29:34.226 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692574226,-1531532,3637
01-19 20:29:35.231 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692575231,-1554970,3637
01-19 20:29:36.235 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692576235,-1172270,3637
01-19 20:29:37.236 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692577236,-1161283,3637
01-19 20:29:38.238 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692578238,-1485388,3637
01-19 20:29:39.241 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692579241,-2272395,3703
01-19 20:29:40.243 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692580243,-2514100,3703
01-19 20:29:41.246 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692581246,-1379550,3703
01-19 20:29:42.248 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692582248,-1041163,3703
01-19 20:29:43.252 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692583252,-1215484,3703
01-19 20:29:44.255 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692584255,-1660441,3703
01-19 20:29:45.256 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692585256,-2255548,3703
01-19 20:29:46.258 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692586258,-2693914,3703
01-19 20:29:47.263 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692587263,-2542299,3703
01-19 20:29:48.265 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692588265,-1066798,3703
01-19 20:29:49.267 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692589267,-1318025,3683
01-19 20:29:50.269 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692590269,-1935106,3683
01-19 20:29:51.274 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692591274,-2046071,3683
