timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1705688652276.735,0,0,0,0,0,0,0,0,213154426,2416481233,847321,2891823,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182859392,988992,428104,12121,0,0,0,0,3633861,105773998080,3210275,113550967808,722.203125,2274132.84375,678.953125,12318.640625,10757.687499999998,2.5,2500.0,0.0,2500.0,1745130943,1022776549,0,614460189
1705688653279.043,0,0,0,0,0,0,0,0,213155376,2416482285,847330,2891832,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182859392,988992,428104,12121,0,0,0,0,3633861,105773998080,3210276,113551004672,722.21875,2274144.40625,678.953125,12318.921875,10757.749999999998,3.0,2500.0,0.0,2500.0,1745157907,1022791339,0,614604655
1705688654270.8298,0,0,0,0,0,0,0,0,213155464,2416482349,847331,2891833,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182859392,988992,428104,12121,0,0,0,0,3633861,105773998080,3210386,113551840256,722.234375,2274156.125,678.953125,12319.0,10757.859374999998,1.7,2500.0,0.0,2500.0,1745187213,1022807202,0,614728949
1705688655280.5786,0,0,0,0,0,0,0,0,213155640,2416482463,847333,2891834,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182859392,988992,428104,12121,0,0,0,0,3633861,105773998080,3210396,113552139264,722.234375,2274168.046875,678.953125,12319.0625,10757.984374999998,1.5,2500.0,0.0,2500.0,1745204540,1022816305,0,614829148
1705688656274.9934,0,0,0,0,0,0,0,0,213165014,2416493019,847348,2891855,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182859392,988992,428104,12121,0,0,0,0,3633862,105774014464,3210409,113553007616,722.25,2274179.765625,678.96875,12319.21875,10758.046874999998,2.1,2500.0,0.0,2500.0,1745220074,1022824379,0,614929128
1705688657270.822,0,0,0,0,0,0,0,0,213165014,2416518129,847348,2891959,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182859392,988992,428104,12121,0,0,0,0,3633863,105774030848,3210422,113553269760,722.25,2274191.46875,678.96875,12319.34375,10758.187499999998,2.2,2500.0,0.0,2500.0,1745235275,1022832144,0,615033659
1705688658266.9226,0,0,0,0,0,0,0,0,213166790,2416518568,847357,2891962,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182861072,988992,428112,12121,0,0,0,0,3633863,105774030848,3210438,113554129920,722.25,2274203.078125,678.96875,12319.46875,10758.328124999998,2.2,2500.0,0.0,2500.0,1745250141,1022840266,0,615132938
1705688659279.9202,0,0,0,0,0,0,0,0,213168678,2416518682,847367,2891963,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182862752,988992,428120,12121,0,0,0,0,3633863,105774030848,3210445,113554502656,722.25,2274215.203125,678.96875,12319.59375,10758.359374999998,1.3,2500.0,0.0,2500.0,1745264867,1022848267,0,615233039
1705688660268.9377,0,0,0,0,0,0,0,0,213168742,2416518746,847368,2891964,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182862752,988992,428120,12121,0,0,0,0,3633863,105774030848,3210446,113554543616,722.25,2274226.84375,678.96875,12319.71875,10758.437499999998,1.7,2500.0,0.0,2500.0,1745281707,1022857602,0,615335409
1705688661265.4294,0,0,0,0,0,0,0,0,213170719,2416518949,847379,2891966,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182864432,988992,428128,12121,0,0,0,0,3633864,105774047232,3210455,113554932736,722.25,2274238.671875,678.96875,12319.796875,10758.515624999998,1.3,2500.0,0.0,2500.0,1745296598,1022865724,0,615433436
1705688662265.4421,0,0,0,0,0,0,0,0,213172415,2416526089,847390,2891977,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182864432,988992,428128,12121,0,0,0,0,3633864,105774047232,3210468,113555260416,722.25,2274250.375,678.96875,12319.90625,10758.593749999998,1.6,2500.0,0.0,2500.0,1745312831,1022874610,0,615536569
1705688663277.6724,0,0,0,0,0,0,0,0,213173225,2416526651,847398,2891985,732,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182864432,988992,428128,12121,0,0,0,0,3633864,105774047232,3210480,113555653632,722.25,2274262.375,678.96875,12319.96875,10758.687499999998,1.3,2500.0,0.0,2500.0,1745328303,1022882810,0,615636553
