01-19 19:51:42.283 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 19:51:42.284 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 19:51:42.284 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 19:51:42.285 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: notification done
01-19 19:51:42.287 17982 17982 I BatteryMgr:DataCollectionService: started foreground
01-19 19:51:42.288 17982 18008 I BatteryMgr:DataCollectionService: collectData: begin
01-19 19:51:42.289 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690302289,-1727825,3798
01-19 19:51:43.292 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690303292,-1393833,3798
01-19 19:51:44.295 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690304295,-2456603,3798
01-19 19:51:45.297 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690305297,-1417637,3798
01-19 19:51:46.299 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690306299,-1680583,3798
01-19 19:51:47.302 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690307302,-1084743,3782
01-19 19:51:48.305 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690308305,-1145536,3782
01-19 19:51:49.307 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690309307,-1354281,3782
01-19 19:51:50.310 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690310310,-1419468,3782
01-19 19:51:51.317 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690311317,-827290,3782
01-19 19:51:52.319 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690312319,-799458,3782
01-19 19:51:53.322 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690313322,-1021753,3782
01-19 19:51:54.328 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690314328,-1389072,3782
01-19 19:51:55.330 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690315330,-1105984,3782
01-19 19:51:56.332 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690316332,-1278107,3782
01-19 19:51:57.335 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690317335,-1104885,3812
01-19 19:51:58.337 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690318337,-1099392,3812
01-19 19:51:59.340 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690319340,-963524,3812
01-19 19:52:00.342 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690320342,-1270783,3812
01-19 19:52:01.344 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690321344,-915550,3812
01-19 19:52:02.347 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690322347,-1086208,3812
01-19 19:52:03.350 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690323350,-1280305,3812
01-19 19:52:04.352 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690324352,-1292024,3812
01-19 19:52:05.355 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690325355,-1250641,3812
01-19 19:52:06.357 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690326357,-1290193,3812
01-19 19:52:07.361 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690327361,-1021387,3810
01-19 19:52:08.364 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690328364,-1029810,3810
01-19 19:52:09.372 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690329372,-1397495,3810
01-19 19:52:10.374 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690330374,-1190215,3810
01-19 19:52:11.376 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690331376,-1191313,3810
01-19 19:52:12.379 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690332379,-1267121,3810
01-19 19:52:13.386 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690333386,-1270417,3810
01-19 19:52:14.389 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690334389,-998315,3810
01-19 19:52:15.391 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690335391,-1671061,3820
01-19 19:52:16.396 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705690336396,-1560463,3820
