timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1705692476014.487,0,0,0,0,0,0,0,0,222453378,2457871065,890004,2964128,750,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184680686,989062,436622,12122,0,0,0,0,3640336,106263111168,3273037,115412772352,735.96875,2319252.296875,694.21875,12726.390625,11137.968749999998,0.0,2500.0,0.0,2500.0,1807895471,1056345372,0,979609888
1705692477014.4094,0,0,0,0,0,0,0,0,222456244,2458060027,890042,2964320,750,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184680686,989062,436622,12122,0,0,0,0,3640337,106263127552,3273061,115413333504,735.96875,2319264.09375,694.234375,12726.53125,11137.999999999998,1.6,2500.0,0.0,2500.0,1807912900,1056354659,0,979717227
1705692478019.2637,0,0,0,0,0,0,0,0,222456308,2458071530,890043,2964385,750,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184680686,989062,436622,12122,0,0,0,0,3640337,106263127552,3273065,115413353984,735.96875,2319275.921875,694.234375,12726.703125,11138.031249999998,1.7,2500.0,0.0,2500.0,1807928987,1056363383,0,979819014
1705692479007.9287,0,0,0,0,0,0,0,0,222458456,2458090304,890057,2964467,750,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184680686,989062,436622,12122,0,0,0,0,3640337,106263127552,3273069,115413526016,735.96875,2319287.546875,694.25,12726.859375,11138.093749999998,2.0,2500.0,0.0,2500.0,1807945071,1056371405,0,979920580
1705692480006.385,0,0,0,0,0,0,0,0,222458696,2458090783,890060,2964472,750,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184680686,989062,436622,12122,0,0,0,0,3640337,106263127552,3273084,115413804544,735.96875,2319299.671875,694.25,12726.921875,11138.218749999998,1.5,2500.0,0.0,2500.0,1807961365,1056379996,0,980022753
1705692481021.1343,0,0,0,0,0,0,0,0,222458696,2458090847,890060,2964474,750,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184680686,989062,436622,12122,0,0,0,0,3640337,106263127552,3273097,115414259200,735.96875,2319311.234375,694.25,12727.0,11138.374999999998,2.0,2500.0,0.0,2500.0,1807976867,1056387990,0,980123178
1705692482021.3677,0,0,0,0,0,0,0,0,222460349,2458097343,890070,2964487,750,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184680686,989062,436622,12122,0,0,0,0,3640337,106263127552,3273098,115414263296,735.96875,2319323.125,694.25,12727.109375,11138.468749999998,1.7,2500.0,0.0,2500.0,1807992876,1056396075,0,980223786
1705692483015.0461,0,0,0,0,0,0,0,0,222460525,2458097521,890072,2964489,750,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184680686,989062,436622,12122,0,0,0,0,3640337,106263127552,3273142,115414832640,735.96875,2319334.78125,694.25,12727.25,11138.531249999998,1.7,2500.0,0.0,2500.0,1808008343,1056404215,0,980324670
1705692484013.7585,0,0,0,0,0,0,0,0,222462816,2458097980,890085,2964496,750,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184682584,989062,436631,12122,0,0,0,0,3640338,106263143936,3273152,115415139840,735.96875,2319346.609375,694.25,12727.375,11138.578124999998,1.4,2500.0,0.0,2500.0,1808023557,1056412209,0,980425594
1705692485017.026,0,0,0,0,0,0,0,0,222464971,2458107113,890097,2964538,750,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184684482,989062,436640,12122,0,0,0,0,3640338,106263143936,3273162,115415893504,735.96875,2319358.5,694.25,12727.453125,11138.671874999998,1.4,2500.0,0.0,2500.0,1808038921,1056419850,0,980526110
