timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1706614385509.8286,0,0,0,0,0,0,0,0,614456185,397472653,596146,449882,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10223000,0,47853,0,0,0,0,0,1026798,12960563200,203854,5514268672,46.734375,256686.49999999997,45.21875,757.9843750000291,639.484375,2.9,2500.0,0.0,2500.0,98857769,57131926,0,557064555
1706614386517.394,0,0,0,0,0,0,0,0,614460944,397478378,596202,449953,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10223000,0,47853,0,0,0,0,0,1026799,12960595968,203867,5514858496,46.75,256698.10937499997,45.21875,758.1093750000291,639.640625,2.5,2500.0,0.0,2500.0,98870489,57138836,0,557159408
1706614387517.1377,0,0,0,0,0,0,0,0,614464197,397482018,596238,450002,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10223000,0,47853,0,0,0,0,0,1026799,12960595968,203877,5515313152,46.765625,256710.07812499997,45.21875,758.1875000000291,639.703125,1.3,2500.0,0.0,2500.0,98881975,57145041,0,557245564
1706614388514.5518,0,0,0,0,0,0,0,0,614467510,397485646,596276,450051,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10223000,0,47853,0,0,0,0,0,1026799,12960595968,203884,5515558912,46.765625,256721.78124999997,45.21875,758.2656250000291,639.8125,1.6,2500.0,0.0,2500.0,98892690,57150795,0,557329703
1706614389527.4194,0,0,0,0,0,0,0,0,614472270,397491208,596330,450123,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10223000,0,47853,0,0,0,0,0,1026799,12960595968,203918,5515800576,46.765625,256733.73437499997,45.21875,758.3281250000291,639.953125,1.7,2500.0,0.0,2500.0,98907651,57158527,0,557441535
1706614390520.564,0,0,0,0,0,0,0,0,614476950,397494570,596371,450168,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10224680,0,47861,0,0,0,0,0,1026799,12960595968,203925,5516070912,46.78125,256745.34374999997,45.21875,758.5156250000291,640.09375,2.9,2500.0,0.0,2500.0,98918504,57164584,0,557519520
1706614391515.8584,0,0,0,0,0,0,0,0,614483066,397499442,596428,450232,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10226360,0,47869,0,0,0,0,0,1026799,12960595968,203933,5516488704,46.78125,256757.07812499997,45.21875,758.5625000000291,640.21875,1.4,2500.0,0.0,2500.0,98933051,57172496,0,557629078
1706614392523.8435,0,0,0,0,0,0,0,0,614486840,397503605,596471,450286,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10226360,0,47869,0,0,0,0,0,1026799,12960595968,203976,5517189120,46.796875,256768.98437499997,45.21875,758.7343750000291,640.3125,2.3,2500.0,0.0,2500.0,98944864,57178540,0,557714453
1706614393518.4807,0,0,0,0,0,0,0,0,614492463,397508028,596523,450345,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10228040,0,47877,0,0,0,0,0,1026799,12960595968,203976,5517189120,46.796875,256780.74999999997,45.21875,758.7968750000291,640.375,1.1,2500.0,0.0,2500.0,98956857,57184754,0,557808451
1706614394513.3423,0,0,0,0,0,0,0,0,614496228,397512416,596566,450403,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10228040,0,47877,0,0,0,0,0,1026799,12960595968,204018,5517746176,46.796875,256792.56249999997,45.234375,758.8750000000291,640.484375,1.7,2500.0,0.0,2500.0,98968648,57190735,0,557900119
