--------- beginning of main
02-22 16:05:35.124 12862 12979 I VrApi   : FPS=13/72,Prd=0ms,Tear=0,Early=0,Stale=73,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=1555MHz,Free=7759MB,PLS=0,Temp=26.0C/0.0C,TW=4.25ms,App=0.00ms,GD=1.35ms,CPU&GPU=35.42ms,LCnt=4(DR0,LM2),GPU%=0.54,CPU%=0.06(W0.10),DSF=1.00,CFL=19.06/22.40,ICFLp95=21.08,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:36.124 12862 12979 I VrApi   : FPS=40/72,Prd=0ms,Tear=0,Early=0,Stale=73,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=1804MHz,Free=7759MB,PLS=0,Temp=26.0C/0.0C,TW=4.22ms,App=0.53ms,GD=1.21ms,CPU&GPU=41.35ms,LCnt=4(DR0,LM2),GPU%=0.54,CPU%=0.10(W0.14),DSF=1.00,CFL=18.93/22.24,ICFLp95=20.85,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:37.124 12862 12979 I VrApi   : FPS=44/72,Prd=0ms,Tear=0,Early=0,Stale=73,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=1804MHz,Free=7759MB,PLS=0,Temp=26.0C/0.0C,TW=4.27ms,App=2.42ms,GD=1.50ms,CPU&GPU=22.30ms,LCnt=4(DR0,LM2),GPU%=0.56,CPU%=0.13(W0.14),DSF=1.00,CFL=18.85/21.92,ICFLp95=20.78,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:38.124 12862 12979 I VrApi   : FPS=69/72,Prd=0ms,Tear=0,Early=0,Stale=73,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=1804MHz,Free=7759MB,PLS=0,Temp=25.7C/0.0C,TW=4.38ms,App=2.27ms,GD=1.29ms,CPU&GPU=10.89ms,LCnt=4(DR0,LM2),GPU%=0.61,CPU%=0.18(W0.30),DSF=1.00,CFL=18.74/21.70,ICFLp95=20.75,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:39.124 12862 12979 I VrApi   : FPS=59/72,Prd=0ms,Tear=0,Early=0,Stale=63,Stale2/5/10/max=0/0/1/356,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=1804MHz,Free=7759MB,PLS=0,Temp=25.7C/0.0C,TW=4.28ms,App=7.09ms,GD=0.59ms,CPU&GPU=14.52ms,LCnt=4(DR0,LM2),GPU%=0.50,CPU%=0.16(W0.31),DSF=1.00,CFL=18.64/21.68,ICFLp95=20.76,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:40.124 12862 12979 I VrApi   : FPS=55/72,Prd=0ms,Tear=0,Early=0,Stale=28,Stale2/5/10/max=2/0/0/3,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=1804MHz,Free=7759MB,PLS=0,Temp=25.7C/0.0C,TW=4.28ms,App=0.16ms,GD=1.26ms,CPU&GPU=19.50ms,LCnt=4(DR0,LM2),GPU%=0.55,CPU%=0.18(W0.22),DSF=1.00,CFL=18.87/21.70,ICFLp95=20.77,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:41.132 12862 12979 I VrApi   : FPS=71/72,Prd=0ms,Tear=0,Early=0,Stale=4,Stale2/5/10/max=0/0/0/1,VSnc=1,Lat=0,Fov=0,CPU4/GPU=3/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=1804MHz,Free=7755MB,PLS=0,Temp=25.7C/0.0C,TW=4.39ms,App=1.28ms,GD=1.29ms,CPU&GPU=14.08ms,LCnt=4(DR0,LM2),GPU%=0.55,CPU%=0.19(W0.27),DSF=1.00,CFL=18.63/21.66,ICFLp95=20.61,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:42.125 12862 12979 I VrApi   : FPS=52/72,Prd=0ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1382/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=1804MHz,Free=7755MB,PLS=0,Temp=25.7C/0.0C,TW=4.25ms,App=5.93ms,GD=0.64ms,CPU&GPU=18.13ms,LCnt=4(DR0,LM2),GPU%=0.50,CPU%=0.15(W0.19),DSF=1.00,CFL=18.57/21.66,ICFLp95=20.50,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:42.655 12862 12886 W VrApi   : Warning: app-submitted vsync 178036 for display time 2462.573s exceeds max future display vsync -- clamping to 178026
02-22 16:05:42.710 12862 12886 W VrApi   : Warning: app-submitted vsync 178037 for display time 2462.587s exceeds max future display vsync -- clamping to 178030
02-22 16:05:42.766 12862 12886 W VrApi   : Warning: app-submitted vsync 178038 for display time 2462.601s exceeds max future display vsync -- clamping to 178034
