timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1708613311252.7458,0,0,0,0,0,0,0,0,12239698785,1454075402,9907033,3379689,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004887,0,4809,0,0,0,0,0,2488445,76997,5771,510,0,0,0,0,345025,9568333312,73998,2111573504,59.09375,22735.828124999996,37.140625,322.60937500000364,338.296875,20.0,2500.0,0.0,2500.0,72680603,41107930,0,268733021
1708613312251.8281,0,0,0,0,0,0,0,0,12245249121,1455096846,9911951,3382203,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006567,0,4817,0,0,0,0,0,2490125,76997,5779,510,0,0,0,0,345026,9568349696,74037,2112261632,59.125,22747.390624999996,37.140625,322.81250000000364,338.5,3.6,2500.0,0.0,2500.0,72729880,41137758,0,268923674
1708613313257.449,0,0,0,0,0,0,0,0,12252115541,1456140379,9917979,3384884,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008247,0,4825,0,0,0,0,0,2491805,76997,5787,510,0,0,0,0,345026,9568349696,74069,2112769536,59.171875,22759.031249999996,37.171875,323.00000000000364,338.703125,3.9,2500.0,0.0,2500.0,72779148,41166523,0,269129697
1708613314257.7769,0,0,0,0,0,0,0,0,12260343021,1457186205,9924872,3387635,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008769,0,4826,0,0,0,0,0,2492327,76997,5788,510,0,0,0,0,345027,9568366080,74113,2114362880,59.265625,22770.546875,37.21875,323.3125,338.859375,5.0,2500.0,0.0,2500.0,72850844,41206196,0,269403783
1708613315255.589,0,0,0,0,0,0,0,0,12266700842,1458228039,9930546,3390306,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010449,0,4834,0,0,0,0,0,2494007,76997,5796,510,0,0,0,0,345027,9568366080,74117,2114387456,59.296875,22781.828125,37.265625,323.640625,339.265625,6.7,2500.0,0.0,2500.0,72907302,41239704,0,269637589
1708613316249.8657,0,0,0,0,0,0,0,0,12273673110,1459261189,9936552,3392927,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010449,0,4834,0,0,0,0,0,2494007,76997,5796,510,0,0,0,0,345027,9568366080,74141,2115096064,59.3125,22792.84375,37.28125,323.9375,339.984375,8.7,2500.0,0.0,2500.0,72961984,41274286,0,269871638
1708613317257.8745,0,0,0,0,0,0,0,0,12281564895,1460297835,9943223,3395583,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010449,0,4834,0,0,0,0,0,2494007,76997,5796,510,0,0,0,0,345027,9568366080,74168,2115501568,59.375,22804.296875,37.34375,324.25,340.203125,5.4,2500.0,0.0,2500.0,73016792,41309503,0,270080833
1708613318253.7825,0,0,0,0,0,0,0,0,12284957792,1461341481,9947028,3398220,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010449,0,4834,0,0,0,0,0,2494007,76997,5796,510,0,0,0,0,345027,9568366080,74189,2115853824,59.4375,22815.890625,37.390625,324.5,340.375,4.4,2500.0,0.0,2500.0,73076144,41344170,0,270365719
1708613319256.653,0,0,0,0,0,0,0,0,12291340000,1462412382,9953170,3401105,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012129,0,4842,0,0,0,0,0,2495687,76997,5804,510,0,0,0,0,345027,9568366080,74191,2115894784,59.46875,22827.515625,37.40625,324.6875,340.546875,3.4,2500.0,0.0,2500.0,73134164,41376214,0,270599856
1708613320249.6387,0,0,0,0,0,0,0,0,12298763186,1463485449,9959953,3404019,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012129,0,4842,0,0,0,0,0,2495687,76997,5804,510,0,0,0,0,345027,9568366080,74200,2116103680,59.515625,22838.90625,37.421875,324.859375,340.84375,4.5,2500.0,0.0,2500.0,73202776,41414506,0,270945167
