timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1708628381761.4424,0,0,0,0,0,0,0,0,43593270765,5404429976,37640317,14639849,172,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8063672,0,37837,0,0,0,0,0,11576651,119523,40227,1006,0,0,0,0,476931,11640311296,282142,8303999488,284.6875,200802.15625,217.921875,1916.90625,1523.765625,8.3,2500.0,0.0,2500.0,500607229,276467248,0,1639951163
1708628382765.311,0,0,0,0,0,0,0,0,43604273944,5405441700,37648731,14642204,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8063672,0,37837,0,0,0,0,0,11576651,119523,40227,1006,0,0,0,0,476933,11640524288,283056,8310712832,284.78125,200812.875,217.9375,1917.968749999971,1524.171875,12.8,2500.0,0.0,2500.0,500695618,276522744,0,1640286877
1708628383775.0007,0,0,0,0,0,0,0,0,43615717246,5406503009,37657496,14644832,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8063672,0,37837,0,0,0,0,0,11576651,119523,40227,1006,0,0,0,0,476934,11640786432,283072,8311622144,284.875,200824.015625,217.984375,1918.624999999971,1524.375,8.2,2500.0,0.0,2500.0,500748275,276554594,0,1640494071
1708628384770.2664,0,0,0,0,0,0,0,0,43626191018,5407516428,37665684,14647267,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8063672,0,37837,0,0,0,0,0,11576651,119523,40227,1006,0,0,0,0,476937,11640835584,283083,8311855616,284.953125,200835.625,218.0,1918.937499999971,1524.453125,4.0,2500.0,0.0,2500.0,500857371,276616877,0,1640747471
1708628385773.895,0,0,0,0,0,0,0,0,43638032186,5408552305,37674885,14649850,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8063672,0,37837,0,0,0,0,0,11576651,119523,40227,1006,0,0,0,0,476938,11640901120,283099,8312257024,284.96875,200846.84375,218.0,1919.562499999971,1524.578125,6.4,2500.0,0.0,2500.0,500907423,276646219,0,1640960751
1708628386767.5256,0,0,0,0,0,0,0,0,43643993469,5409579442,37680249,14652326,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8063672,0,37837,0,0,0,0,0,11576651,119523,40227,1006,0,0,0,0,476938,11640901120,283125,8313702912,284.984375,200858.421875,218.0,1919.749999999971,1524.734375,3.0,2500.0,0.0,2500.0,500957437,276675158,0,1641165348
1708628387757.826,0,0,0,0,0,0,0,0,43645716643,5410583751,37682757,14654630,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8065352,0,37845,0,0,0,0,0,11578331,119523,40235,1006,0,0,0,0,476938,11640901120,283134,8313764352,285.0,200869.171875,218.03125,1920.109374999971,1525.53125,10.1,2500.0,0.0,2500.0,501006651,276716970,0,1641364846
1708628388762.267,0,0,0,0,0,0,0,0,43650603884,5411603426,37687403,14657013,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8067032,0,37853,0,0,0,0,0,11580011,119523,40243,1006,0,0,0,0,476938,11640901120,283176,8314640896,285.078125,200880.640625,218.046875,1920.421874999971,1525.765625,5.3,2500.0,0.0,2500.0,501059214,276757241,0,1641590671
1708628389758.3987,0,0,0,0,0,0,0,0,43658258841,5412652850,37694086,14659714,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8067032,0,37853,0,0,0,0,0,11580011,119523,40243,1006,0,0,0,0,476939,11640917504,283236,8315222528,285.078125,200892.1875,218.046875,1920.656249999971,1525.984375,3.8,2500.0,0.0,2500.0,501117399,276791043,0,1641828880
1708628390768.4253,0,0,0,0,0,0,0,0,43666718759,5413716887,37701576,14662473,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8068712,0,37861,0,0,0,0,0,11581691,119523,40251,1006,0,0,0,0,476940,11640933888,283269,8315746816,285.09375,200904.015625,218.078125,1920.843749999971,1526.109375,2.9,2500.0,0.0,2500.0,501175674,276822649,0,1642068785
