timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1708615101564.8674,0,0,0,0,0,0,0,0,21148672615,2697263568,17452900,6420836,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757985,0,8344,0,0,0,0,0,3241543,77067,9306,511,0,0,0,0,383908,9911011840,101712,3350757376,115.796875,43735.125,72.640625,594.40625,550.9375,7.1,2500.0,0.0,2500.0,138319592,77372875,0,509945219
1708615102568.9697,0,0,0,0,0,0,0,0,21150485215,2699160786,17455635,6423819,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757985,0,8344,0,0,0,0,0,3241543,77067,9306,511,0,0,0,0,383908,9911011840,101715,3350888448,115.875,43746.734375,72.65625,594.625,551.09375,3.9,2500.0,0.0,2500.0,138372173,77403289,0,510199364
1708615103564.8767,0,0,0,0,0,0,0,0,21151961254,2700183705,17458044,6426159,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759665,0,8352,0,0,0,0,0,3243223,77067,9314,511,0,0,0,0,383908,9911011840,101780,3352428544,115.890625,43758.375,72.65625,594.859375,551.25,3.4,2500.0,0.0,2500.0,138423374,77432431,0,510433476
1708615104569.0884,0,0,0,0,0,0,0,0,21153962090,2701204223,17460829,6428523,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759665,0,8352,0,0,0,0,0,3243223,77067,9314,511,0,0,0,0,383908,9911011840,101841,3353812992,115.90625,43770.140625,72.65625,595.03125,551.40625,2.8,2500.0,0.0,2500.0,138471456,77459727,0,510643902
1708615105568.2126,0,0,0,0,0,0,0,0,21159205074,2702211315,17465662,6430900,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759665,0,8352,0,0,0,0,0,3243223,77067,9314,511,0,0,0,0,383908,9911011840,101875,3354202112,115.984375,43781.625,72.671875,595.34375,551.53125,4.4,2500.0,0.0,2500.0,138518769,77486742,0,510853771
1708615106553.9565,0,0,0,0,0,0,0,0,21160508602,2703219814,17467874,6433143,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759665,0,8352,0,0,0,0,0,3243223,77067,9314,511,0,0,0,0,383908,9911011840,101912,3354415104,116.03125,43792.34375,72.703125,595.65625,552.328125,10.0,2500.0,0.0,2500.0,138567722,77517873,0,511107071
1708615107572.2056,0,0,0,0,0,0,0,0,21161341379,2704266660,17469920,6435533,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759665,0,8352,0,0,0,0,0,3243223,77067,9314,511,0,0,0,0,383908,9911011840,101960,3354877952,116.046875,43803.78125,72.734375,596.109375,552.6875,7.0,2500.0,0.0,2500.0,138620114,77896611,0,511306826
1708615108565.0657,0,0,0,0,0,0,0,0,21162384591,2705268391,17471984,6437781,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759665,0,8352,0,0,0,0,0,3243223,77067,9314,511,0,0,0,0,383908,9911011840,102006,3356000256,116.078125,43815.23437499999,72.765625,596.4062500000073,552.828125,4.2,2500.0,0.0,2500.0,138674288,77950410,0,511573068
1708615109559.1084,0,0,0,0,0,0,0,0,21167609884,2706304776,17477269,6440349,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759665,0,8352,0,0,0,0,0,3243223,77067,9314,511,0,0,0,0,383908,9911011840,102041,3356442624,116.09375,43826.71874999999,72.78125,596.5468750000073,553.015625,3.0,2500.0,0.0,2500.0,138730874,77980658,0,511785848
1708615110557.3645,0,0,0,0,0,0,0,0,21170454167,2707351233,17480939,6442877,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759665,0,8352,0,0,0,0,0,3243223,77067,9314,511,0,0,0,0,383908,9911011840,102043,3356512256,116.09375,43838.43749999999,72.828125,596.6718750000073,553.203125,3.0,2500.0,0.0,2500.0,138799870,78025144,0,512117352
