timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1708616322079.3054,0,0,0,0,0,0,0,0,27867807159,3988285487,23995217,9543167,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335658,0,11043,0,0,0,0,0,3819216,77137,12005,512,0,0,0,0,384165,9920061440,120391,3986096128,165.953125,57922.48437499999,107.234375,846.4375,757.734375,7.1,2500.0,0.0,2500.0,219553550,120565986,0,781800353
1708616323080.97,0,0,0,0,0,0,0,0,27876700139,3989296309,24002305,9545397,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335658,0,11043,0,0,0,0,0,3819216,77137,12005,512,0,0,0,0,384165,9920061440,120412,3986804736,165.984375,57933.99999999999,107.265625,846.65625,757.953125,4.2,2500.0,0.0,2500.0,219606805,120596995,0,782000369
1708616324074.1934,0,0,0,0,0,0,0,0,27886992896,3990339738,24010474,9547915,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335658,0,11043,0,0,0,0,0,3819216,77137,12005,512,0,0,0,0,384165,9920061440,120424,3986882560,166.046875,57945.64062499999,107.265625,846.8125,758.046875,2.6,2500.0,0.0,2500.0,219657299,120625606,0,782212894
1708616325078.346,0,0,0,0,0,0,0,0,27897229996,3991367252,24018624,9550369,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335658,0,11043,0,0,0,0,0,3819216,77137,12005,512,0,0,0,0,384165,9920061440,120426,3986907136,166.09375,57957.34374999999,107.3125,847.03125,758.21875,4.0,2500.0,0.0,2500.0,219708658,120654686,0,782411188
1708616326075.8953,0,0,0,0,0,0,0,0,27908455260,3992388729,24027420,9552875,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335658,0,11043,0,0,0,0,0,3819216,77137,12005,512,0,0,0,0,384165,9920061440,120472,3988344832,166.15625,57968.92187499999,107.328125,847.21875,758.328125,3.1,2500.0,0.0,2500.0,219758116,120682801,0,782615787
1708616327075.907,0,0,0,0,0,0,0,0,27920152074,3993404423,24036433,9555208,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337860,0,11052,0,0,0,0,0,3821418,77137,12014,512,0,0,0,0,384165,9920061440,120485,3988647936,166.203125,57979.95312499999,107.375,847.546875,759.0625,9.5,2500.0,0.0,2500.0,219810040,120715692,0,782829775
1708616328072.0798,0,0,0,0,0,0,0,0,27931969498,3994419069,24045592,9557574,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339540,0,11060,0,0,0,0,0,3823098,77137,12022,512,0,0,0,0,384165,9920061440,120486,3988652032,166.21875,57991.453125,107.40625,847.7968749999927,759.265625,4.2,2500.0,0.0,2500.0,219862753,120747940,0,783060302
1708616329075.2456,0,0,0,0,0,0,0,0,27937366265,3995443950,24050724,9559909,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339540,0,11060,0,0,0,0,0,3823098,77137,12022,512,0,0,0,0,384165,9920061440,120500,3989024768,166.234375,58003.015625,107.421875,847.953125,759.515625,3.6,2500.0,0.0,2500.0,219921545,120780970,0,783299506
1708616330070.3767,0,0,0,0,0,0,0,0,27944918729,3996495207,24057563,9562544,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341220,0,11068,0,0,0,0,0,3824778,77137,12030,512,0,0,0,0,384165,9920061440,120511,3989291008,166.234375,58014.625,107.453125,848.125,759.75,3.6,2500.0,0.0,2500.0,219978923,120811615,0,783537172
1708616331072.4695,0,0,0,0,0,0,0,0,27953414472,3997546130,24064973,9565094,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341220,0,11068,0,0,0,0,0,3824778,77137,12030,512,0,0,0,0,384165,9920061440,120522,3989671936,166.328125,58026.140625,107.453125,848.375,759.953125,4.5,2500.0,0.0,2500.0,220047934,120849050,0,783868545
