timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1708674413230.5547,0,0,0,0,0,0,0,0,6574587877,2216535744,5105543,2152287,881,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21606676,0,101445,0,0,0,0,0,1067478998,9525441,797188,135735,0,0,0,0,1645891,46518716928,1025732,53460852736,667.21875,533674.8906249999,511.625,6956.031250000116,4477.453125,4.5,2500.0,0.0,2500.0,1204439344,671691944,0,384793608
1708674414235.193,0,0,0,0,0,0,0,0,6574594628,2216543155,5105603,2152347,881,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21606676,0,101445,0,0,0,0,0,1067478998,9525441,797188,135735,0,0,0,0,1645892,46518721024,1025734,53461000192,667.21875,533686.8281249999,511.625,6956.171875000116,4477.546875,1.9,2500.0,0.0,2500.0,1204460058,671702269,0,384910394
1708674415229.2048,0,0,0,0,0,0,0,0,6574598187,2216547009,5105644,2152397,881,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21606676,0,101445,0,0,0,0,0,1067478998,9525441,797188,135735,0,0,0,0,1645892,46518721024,1025763,53462380544,667.21875,533698.4687499999,511.625,6956.343750000116,4477.59375,1.8,2500.0,0.0,2500.0,1204478710,671712289,0,385012809
1708674416235.242,0,0,0,0,0,0,0,0,6574603897,2216551033,5105697,2152448,881,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21608356,0,101453,0,0,0,0,0,1067480678,9525441,797196,135735,0,0,0,0,1645892,46518721024,1025785,53463949312,667.21875,533710.1562499999,511.625,6956.578125000116,4477.734375,3.1,2500.0,0.0,2500.0,1204498423,671722529,0,385126244
1708674417227.0256,0,0,0,0,0,0,0,0,6574608039,2216555007,5105745,2152499,881,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21608356,0,101453,0,0,0,0,0,1067480678,9525441,797196,135735,0,0,0,0,1645892,46518721024,1025803,53464395776,667.21875,533721.8281249999,511.640625,6956.703125000116,4477.828125,2.0,2500.0,0.0,2500.0,1204517369,671732779,0,385229437
1708674418221.7837,0,0,0,0,0,0,0,0,6574612175,2216559007,5105791,2152551,881,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21608574,0,101454,0,0,0,0,0,1067480896,9525441,797197,135735,0,0,0,0,1645899,46518950400,1025807,53464535040,667.21875,533733.3281249999,511.640625,6957.000000000116,4477.953125,3.5,2500.0,0.0,2500.0,1204536677,671743058,0,385358560
1708674419229.546,0,0,0,0,0,0,0,0,6574616523,2216563095,5105839,2152603,881,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21608792,0,101455,0,0,0,0,0,1067481114,9525441,797198,135735,0,0,0,0,1645899,46518950400,1025829,53466210304,667.21875,533745.1249999999,511.65625,6957.250000000116,4478.046875,3.0,2500.0,0.0,2500.0,1204556002,671753367,0,385466943
1708674420227.5583,0,0,0,0,0,0,0,0,6574620659,2216567095,5105885,2152655,881,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21609010,0,101456,0,0,0,0,0,1067481332,9525441,797199,135735,0,0,0,0,1645899,46518950400,1025863,53469188096,667.21875,533756.8749999999,511.65625,6957.390625000116,4478.140625,2.0,2500.0,0.0,2500.0,1204575909,671764350,0,385589729
1708674421236.687,0,0,0,0,0,0,0,0,6574625289,2216571275,5105935,2152711,881,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21609228,0,101457,0,0,0,0,0,1067481550,9525441,797200,135735,0,0,0,0,1645899,46518950400,1025864,53469200384,667.21875,533768.7499999999,511.65625,6957.484375000116,4478.234375,1.6,2500.0,0.0,2500.0,1204595900,671774963,0,385701831
1708674422229.6133,0,0,0,0,0,0,0,0,6574629063,2216575135,5105978,2152761,881,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21609228,0,101457,0,0,0,0,0,1067481550,9525441,797200,135735,0,0,0,0,1645901,46518983168,1025909,53470470144,667.21875,533780.3437499999,511.65625,6957.687500000116,4478.34375,2.6,2500.0,0.0,2500.0,1204613953,671784330,0,385818597
