timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1708768372053.434,0,0,0,0,0,0,0,0,67308530,527646932,388201,643435,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51130971,0,239707,0,0,0,0,0,1725391128,68951264,1398565,261060,0,0,0,0,4598659,84523942400,2094229,104589382144,952.140625,1262862.921875,834.9375,18355.140625,8877.125,0.0,2500.0,0.0,2500.0,2007483098,1121178583,0,4247978848
1708768373043.9858,0,0,0,0,0,0,0,0,67312457,527651256,388246,643488,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51130971,0,239707,0,0,0,0,0,1725391128,68951264,1398565,261060,0,0,0,0,4598659,84523942400,2094242,104590897664,952.15625,1262874.5,834.9375,18355.265625,8877.25,2.2,2500.0,0.0,2500.0,2007507437,1121192111,0,4248129978
1708768374052.9746,0,0,0,0,0,0,0,0,67317514,527655152,388293,643538,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51130971,0,239707,0,0,0,0,0,1725391128,68951264,1398565,261060,0,0,0,0,4598659,84523942400,2094251,104592257536,952.15625,1262886.4375,834.9375,18355.421875,8877.296875,1.7,2500.0,0.0,2500.0,2007523740,1121200587,0,4248232133
1708768375053.0662,0,0,0,0,0,0,0,0,67322630,527662420,388345,643596,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51130971,0,239707,0,0,0,0,0,1725391128,68951264,1398565,261060,0,0,0,0,4598659,84523942400,2094358,104593953280,952.171875,1262898.359375,834.9375,18355.515625,8877.40625,1.8,2500.0,0.0,2500.0,2007540934,1121209301,0,4248339298
1708768376051.7913,0,0,0,0,0,0,0,0,67329087,527667462,388402,643659,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51132651,0,239715,0,0,0,0,0,1725392808,68951264,1398573,261060,0,0,0,0,4598659,84523942400,2094364,104594018816,952.171875,1262909.859375,834.9375,18355.6875,8877.53125,2.5,2500.0,0.0,2500.0,2007557869,1121217991,0,4248454665
1708768377040.3247,0,0,0,0,0,0,0,0,67334929,527671602,388458,643713,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51134331,0,239723,0,0,0,0,0,1725394488,68951264,1398581,261060,0,0,0,0,4598660,84523958784,2094381,104595857920,952.171875,1262921.609375,834.9375,18355.78125,8877.625,1.6,2500.0,0.0,2500.0,2007575234,1121227049,0,4248568383
1708768378047.8213,0,0,0,0,0,0,0,0,67338843,527675660,388503,643766,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51134331,0,239723,0,0,0,0,0,1725394488,68951264,1398581,261060,0,0,0,0,4598660,84523958784,2094398,104597348864,952.171875,1262933.328125,834.9375,18355.921875,8877.734375,2.1,2500.0,0.0,2500.0,2007591654,1121235373,0,4248673046
1708768379055.113,0,0,0,0,0,0,0,0,67344101,527679204,388551,643812,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51136011,0,239731,0,0,0,0,0,1725396168,68951264,1398589,261060,0,0,0,0,4598660,84523958784,2094399,104597352960,952.171875,1262945.40625,834.9375,18356.0,8877.796875,1.2,2500.0,0.0,2500.0,2007607775,1121243659,0,4248775265
1708768380045.4844,0,0,0,0,0,0,0,0,67348191,527683318,388598,643865,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51136011,0,239731,0,0,0,0,0,1725396168,68951264,1398589,261060,0,0,0,0,4598660,84523958784,2094408,104598688256,952.171875,1262957.0625,834.9375,18356.125,8877.921875,2.1,2500.0,0.0,2500.0,2007623949,1121252086,0,4248878615
1708768381052.0908,0,0,0,0,0,0,0,0,67355742,527688980,388655,643924,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51136533,0,239732,0,0,0,0,0,1725396690,68951264,1398590,261060,0,0,0,0,4598660,84523958784,2094415,104599249408,952.171875,1262968.765625,834.9375,18356.1875,8878.078125,1.8,2500.0,0.0,2500.0,2007641791,1121261744,0,4248991033
