timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709042888968.7505,0,0,0,0,0,0,0,0,38677139071,3899090655,30785864,9444932,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97421512,0,488825,0,0,0,0,0,2766218846,60659194662,3777821,1462570,0,0,0,0,11118083,144532139008,4178572,184550581248,1563.59375,2906678.953125,1386.234375,27394.578125,16772.328125,2.3,2500.0,0.0,2500.0,3678642758,2033668870,0,2328937522
1709042889973.6914,0,0,0,0,0,0,0,0,38687962181,3900131345,30794403,9447638,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97421512,0,488825,0,0,0,0,0,2766218846,60659194662,3777821,1462570,0,0,0,0,11118083,144532139008,4178584,184551773184,1563.640625,2906690.484375,1386.296875,27394.9375,16772.46875,5.0,2500.0,0.0,2500.0,3678690005,2033697921,0,2329111797
1709042890971.4172,0,0,0,0,0,0,0,0,38699714035,3901185469,30803682,9450435,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97421512,0,488825,0,0,0,0,0,2766218846,60659194662,3777821,1462570,0,0,0,0,11118083,144532139008,4178621,184554210304,1563.703125,2906702.078125,1386.34375,27395.21875,16772.578125,4.1,2500.0,0.0,2500.0,3678736082,2033725422,0,2329295664
1709042891965.9478,0,0,0,0,0,0,0,0,38711468836,3902225213,30812935,9453197,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97421512,0,488825,0,0,0,0,0,2766218846,60659194662,3777821,1462570,0,0,0,0,11118083,144532139008,4178640,184556467200,1563.71875,2906713.609375,1386.34375,27395.453125,16772.75,3.5,2500.0,0.0,2500.0,3678783739,2033753918,0,2329462005
1709042892962.578,0,0,0,0,0,0,0,0,38723323668,3903282138,30822242,9456006,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97421512,0,488825,0,0,0,0,0,2766218846,60659194662,3777821,1462570,0,0,0,0,11118083,144532139008,4178653,184557806592,1563.75,2906725.15625,1386.40625,27395.71875,16772.84375,3.8,2500.0,0.0,2500.0,3678828395,2033780292,0,2329623292
1709042893970.0903,0,0,0,0,0,0,0,0,38735255544,3904329902,30831525,9458672,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97421512,0,488825,0,0,0,0,0,2766218846,60659194662,3777821,1462570,0,0,0,0,11118083,144532139008,4178657,184557929472,1563.765625,2906736.28125,1386.421875,27396.109375,16773.5,8.8,2500.0,0.0,2500.0,3678879915,2033815536,0,2329819880
1709042894961.6392,0,0,0,0,0,0,0,0,38746941591,3905360725,30840672,9461332,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97421512,0,488825,0,0,0,0,0,2766218846,60659194662,3777821,1462570,0,0,0,0,11118083,144532139008,4178689,184560444416,1563.765625,2906747.453125,1386.46875,27396.421875,16773.90625,6.4,2500.0,0.0,2500.0,3678928346,2033846619,0,2330044477
1709042895972.9102,0,0,0,0,0,0,0,0,38758920857,3906436865,30850367,9464216,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97423192,0,488833,0,0,0,0,0,2766220526,60659194662,3777829,1462570,0,0,0,0,11118083,144532139008,4178728,184561255424,1563.765625,2906759.234375,1386.484375,27396.59375,16774.0625,2.8,2500.0,0.0,2500.0,3678983933,2033879156,0,2330240151
1709042896962.4944,0,0,0,0,0,0,0,0,38769906469,3907497037,30859480,9467093,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97424872,0,488841,0,0,0,0,0,2766222206,60659194662,3777837,1462570,0,0,0,0,11118083,144532139008,4178735,184562324480,1563.796875,2906770.6875,1386.5,27396.90625,16774.21875,4.3,2500.0,0.0,2500.0,3679041697,2033911644,0,2330499898
1709042897965.3755,0,0,0,0,0,0,0,0,38780906292,3908582132,30868662,9469998,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97424872,0,488841,0,0,0,0,0,2766222206,60659194662,3777837,1462570,0,0,0,0,11118083,144532139008,4178764,184564356096,1563.828125,2906782.453125,1386.5,27397.03125,16774.390625,2.7,2500.0,0.0,2500.0,3679105826,2033948367,0,2330737792
