timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709043631898.192,0,0,0,0,0,0,0,0,46383258311,4654708461,37089331,11512991,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97773362,0,490471,0,0,0,0,0,2766570696,60659194662,3779467,1462570,0,0,0,0,11118209,144535137280,4192875,185617871872,1591.984375,2915336.921875,1405.046875,27542.609375,16881.484375,0.0,2500.0,0.0,2500.0,3719610953,2057301802,0,2452928524
1709043632895.3994,0,0,0,0,0,0,0,0,46394021350,4655743524,37097754,11515678,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97773362,0,490471,0,0,0,0,0,2766570696,60659194662,3779467,1462570,0,0,0,0,11118209,144535137280,4192881,185617912832,1592.09375,2915348.453125,1405.078125,27542.859375,16881.609375,4.3,2500.0,0.0,2500.0,3719657046,2057329943,0,2453100646
1709043633909.8237,0,0,0,0,0,0,0,0,46406013644,4656806299,37107151,11518522,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97775565,0,490480,0,0,0,0,0,2766572899,60659194662,3779476,1462570,0,0,0,0,11118209,144535137280,4192906,185619698688,1592.1875,2915360.15625,1405.109375,27543.1875,16881.75,4.8,2500.0,0.0,2500.0,3719704647,2057359141,0,2453277936
1709043634908.4001,0,0,0,0,0,0,0,0,46417872148,4657855563,37116475,11521350,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97775565,0,490480,0,0,0,0,0,2766572899,60659194662,3779476,1462570,0,0,0,0,11118209,144535137280,4192932,185622340608,1592.203125,2915371.796875,1405.15625,27543.484375,16881.875,4.0,2500.0,0.0,2500.0,3719750271,2057386407,0,2453439682
1709043635901.866,0,0,0,0,0,0,0,0,46429587692,4658904861,37125700,11524143,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97775565,0,490480,0,0,0,0,0,2766572899,60659194662,3779476,1462570,0,0,0,0,11118209,144535137280,4192944,185623163904,1592.21875,2915383.25,1405.171875,27543.734375,16882.0625,3.9,2500.0,0.0,2500.0,3719798158,2057415587,0,2453620126
1709043636906.61,0,0,0,0,0,0,0,0,46441602116,4659953392,37135059,11526936,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97775565,0,490480,0,0,0,0,0,2766572899,60659194662,3779476,1462570,0,0,0,0,11118209,144535137280,4192951,185624241152,1592.25,2915394.265625,1405.203125,27543.953125,16882.9375,9.5,2500.0,0.0,2500.0,3719847403,2057448945,0,2453806864
1709043637902.8545,0,0,0,0,0,0,0,0,46453361251,4660996464,37144289,11529667,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97777245,0,490488,0,0,0,0,0,2766574579,60659194662,3779484,1462570,0,0,0,0,11118209,144535137280,4192971,185625850880,1592.3125,2915405.75,1405.234375,27544.125,16883.28125,5.0,2500.0,0.0,2500.0,3719896917,2057481402,0,2454023895
1709043638899.763,0,0,0,0,0,0,0,0,46465048063,4662051539,37153669,11532528,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97777245,0,490488,0,0,0,0,0,2766574579,60659194662,3779484,1462570,0,0,0,0,11118209,144535137280,4192990,185628427264,1592.34375,2915417.171875,1405.234375,27544.3125,16883.53125,3.9,2500.0,0.0,2500.0,3719950248,2057512436,0,2454215105
1709043639898.7751,0,0,0,0,0,0,0,0,46476376249,4663121602,37163031,11535421,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97777245,0,490488,0,0,0,0,0,2766574579,60659194662,3779484,1462570,0,0,0,0,11118209,144535137280,4192995,185628533760,1592.375,2915428.90625,1405.234375,27544.421875,16883.671875,2.3,2500.0,0.0,2500.0,3720007379,2057545094,0,2454448765
1709043640898.4746,0,0,0,0,0,0,0,0,46487449215,4664207915,37172294,11538381,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,97777245,0,490488,0,0,0,0,0,2766574579,60659194662,3779484,1462570,0,0,0,0,11118209,144535137280,4193015,185630278656,1592.453125,2915440.40625,1405.25,27544.640625,16883.90625,4.5,2500.0,0.0,2500.0,3720069766,2057579792,0,2454705698
