timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709126238341.187,0,0,0,0,0,0,0,0,79165428991,7388663655,63491902,19087103,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125778072,0,621438,0,0,0,0,0,2798435914,60659331864,3913285,1463617,0,0,0,0,11867828,170235388928,5228758,237363959296,1823.25,3615951.2499999995,1631.375,31178.937500000466,20289.234375,0.0,2500.0,0.0,2500.0,657444785,2775028598,0,2226242103
1709126239351.3196,0,0,0,0,0,0,0,0,79176642618,7389716544,63500707,19089896,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125778072,0,621438,0,0,0,0,0,2798435914,60659331864,3913285,1463617,0,0,0,0,11867828,170235388928,5228811,237365679616,1823.25,3615963.2031249995,1631.375,31178.984375000466,20289.265625,0.6,2500.0,0.0,2500.0,657496845,2775060771,0,2226449187
1709126240347.1523,0,0,0,0,0,0,0,0,79188390219,7390772974,63509977,19092813,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125778072,0,621438,0,0,0,0,0,2798435914,60659331864,3913285,1463617,0,0,0,0,11867833,170236404736,5228842,237369239040,1823.25,3615975.1562499995,1631.375,31179.015625000466,20289.296875,0.5,2500.0,0.0,2500.0,657550825,2775092767,0,2226646990
1709126241344.2856,0,0,0,0,0,0,0,0,79200214648,7391825055,63519319,19095722,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125778072,0,621438,0,0,0,0,0,2798435914,60659331864,3913285,1463617,0,0,0,0,11867833,170236404736,5228896,237371831808,1823.25,3615987.1406249995,1631.375,31179.015625000466,20289.3125,0.1,2500.0,0.0,2500.0,657604409,2775125371,0,2226842217
1709126242342.2168,0,0,0,0,0,0,0,0,79212065008,7392880284,63528651,19098599,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125778072,0,621438,0,0,0,0,0,2798435914,60659331864,3913285,1463617,0,0,0,0,11867834,170236453888,5228940,237374281216,1823.25,3615999.0781249995,1631.375,31179.046875000466,20289.34375,0.5,2500.0,0.0,2500.0,657655583,2775156450,0,2227026739
1709126243336.1448,0,0,0,0,0,0,0,0,79223608705,7393922702,63537652,19101338,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125778072,0,621438,0,0,0,0,0,2798435914,60659331864,3913285,1463617,0,0,0,0,11867836,170236486656,5228990,237375907328,1823.25,3616010.1874999995,1631.375,31179.171875000466,20290.0625,7.1,2500.0,0.0,2500.0,657710677,2775193485,0,2227238579
1709126244347.0264,0,0,0,0,0,0,0,0,79235556931,7394985425,63547031,19104203,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125778072,0,621438,0,0,0,0,0,2798435914,60659331864,3913285,1463617,0,0,0,0,11867837,170236503040,5229002,237376009728,1823.265625,3616021.9843749995,1631.375,31179.234375000466,20290.28125,2.5,2500.0,0.0,2500.0,657766538,2775229328,0,2227472732
1709126245339.0098,0,0,0,0,0,0,0,0,79247185003,7396050777,63556433,19107209,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125780275,0,621447,0,0,0,0,0,2798438117,60659331864,3913294,1463617,0,0,0,0,11867838,170236519424,5229052,237377902080,1823.265625,3616033.8437499995,1631.375,31179.250000000466,20290.328125,0.5,2500.0,0.0,2500.0,657828091,2775264828,0,2227692308
1709126246340.1465,0,0,0,0,0,0,0,0,79258565818,7397135477,63565890,19110204,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125781955,0,621455,0,0,0,0,0,2798439797,60659331864,3913302,1463617,0,0,0,0,11867838,170236519424,5229091,237379499520,1823.265625,3616045.8593749995,1631.375,31179.250000000466,20290.328125,0.0,2500.0,0.0,2500.0,657892302,2775301963,0,2227963679
1709126247336.2961,0,0,0,0,0,0,0,0,79269783455,7398213464,63575189,19113150,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125781955,0,621455,0,0,0,0,0,2798439797,60659331864,3913302,1463617,0,0,0,0,11867840,170236601344,5229134,237381977600,1823.265625,3616057.6874999995,1631.375,31179.312500000466,20290.4375,1.4,2500.0,0.0,2500.0,657961455,2775341767,0,2228233871
