timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709123754229.935,0,0,0,0,0,0,0,0,50689389432,4682495727,40623410,11842103,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124596405,0,615913,0,0,0,0,0,2797254247,60659331724,3907760,1463615,0,0,0,0,11811422,168393016320,5146164,232594172416,1821.78125,3586331.2968749995,1629.8125,31111.984375000466,20166.8125,0.0,2500.0,0.0,2500.0,519066089,2690758719,0,1821776648
1709123755234.3857,0,0,0,0,0,0,0,0,50700185883,4683540522,40631902,11844849,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124598085,0,615921,0,0,0,0,0,2797255927,60659331724,3907768,1463615,0,0,0,0,11811422,168393016320,5146170,232595249664,1821.78125,3586343.3281249995,1629.8125,31112.000000000466,20166.875,0.6,2500.0,0.0,2500.0,519113815,2690789834,0,1821970179
1709123756225.7734,0,0,0,0,0,0,0,0,50711676679,4684592658,40640952,11847718,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124599765,0,615929,0,0,0,0,0,2797257607,60659331724,3907776,1463615,0,0,0,0,11811422,168393016320,5146195,232597436928,1821.78125,3586355.0312499995,1629.8125,31112.031250000466,20166.890625,0.4,2500.0,0.0,2500.0,519158850,2690818312,0,1822157899
1709123757227.87,0,0,0,0,0,0,0,0,50723480257,4685640168,40650210,11850496,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124599765,0,615929,0,0,0,0,0,2797257607,60659331724,3907776,1463615,0,0,0,0,11811423,168393032704,5146217,232598891008,1821.78125,3586367.0624999995,1629.8125,31112.031250000466,20166.921875,0.3,2500.0,0.0,2500.0,519204264,2690847585,0,1822330474
1709123758237.025,0,0,0,0,0,0,0,0,50735504413,4686706663,40659700,11853412,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124601445,0,615937,0,0,0,0,0,2797259287,60659331724,3907784,1463615,0,0,0,0,11811423,168393032704,5146226,232600201728,1821.78125,3586379.1562499995,1629.8125,31112.046875000466,20166.9375,0.3,2500.0,0.0,2500.0,519250645,2690877271,0,1822503143
1709123759234.1802,0,0,0,0,0,0,0,0,50747227683,4687746869,40668849,11856147,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124601445,0,615937,0,0,0,0,0,2797259287,60659331724,3907784,1463615,0,0,0,0,11811423,168393032704,5146228,232600222208,1821.78125,3586390.2656249995,1629.8125,31112.203125000466,20167.6875,7.5,2500.0,0.0,2500.0,519298835,2690910813,0,1822693674
1709123760237.9731,0,0,0,0,0,0,0,0,50759087655,4688796995,40678186,11858961,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124601445,0,615937,0,0,0,0,0,2797259287,60659331724,3907784,1463615,0,0,0,0,11811423,168393032704,5146245,232602413568,1821.78125,3586402.1093749995,1629.8125,31112.218750000466,20167.8125,1.2,2500.0,0.0,2500.0,519347505,2690943347,0,1822914073
1709123761225.454,0,0,0,0,0,0,0,0,50770692715,4689851374,40687507,11861864,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124601445,0,615937,0,0,0,0,0,2797259287,60659331724,3907784,1463615,0,0,0,0,11811423,168393032704,5146256,232603736576,1821.78125,3586413.8593749995,1629.8125,31112.234375000466,20167.890625,0.8,2500.0,0.0,2500.0,519401057,2690976107,0,1823122653
1709123762239.2288,0,0,0,0,0,0,0,0,50782128271,4690939452,40696989,11864843,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124603125,0,615945,0,0,0,0,0,2797260967,60659331724,3907792,1463615,0,0,0,0,11811423,168393032704,5146278,232606312960,1821.78125,3586426.0781249995,1629.8125,31112.234375000466,20167.890625,0.0,2500.0,0.0,2500.0,519457391,2691009673,0,1823352579
1709123763229.1804,0,0,0,0,0,0,0,0,50793294469,4692005233,40706256,11867699,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124603125,0,615945,0,0,0,0,0,2797260967,60659331724,3907792,1463615,0,0,0,0,11811423,168393032704,5146278,232606312960,1821.78125,3586437.8749999995,1629.8125,31112.234375000466,20167.921875,0.3,2500.0,0.0,2500.0,519518962,2691045222,0,1823614457
