timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709131017123.3076,0,0,0,0,0,0,0,0,91830856301,8659987875,73921985,22565838,311,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,128043714,0,632028,0,0,0,0,0,2800771259,60659346926,3923967,1463682,0,0,0,0,11890057,171115687424,5319532,241005330944,1854.171875,3672615.4375,1657.796875,31513.718749999534,20635.640625,0.0,2500.0,0.0,2500.0,783495810,2848775461,0,2605581605
1709131018122.8284,0,0,0,0,0,0,0,0,91841777030,8661046544,73930534,22568585,311,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,128045611,0,632037,0,0,0,0,0,2800773156,60659346926,3923976,1463682,0,0,0,0,11890058,171115703808,5319545,241006469632,1854.234375,3672626.9843749995,1657.796875,31513.9375,20635.8125,3.8,2500.0,0.0,2500.0,783542553,2848803816,0,2605758505
1709131019114.5908,0,0,0,0,0,0,0,0,91853558460,8662109925,73939805,22571470,311,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,128047291,0,632045,0,0,0,0,0,2800774836,60659346926,3923984,1463682,0,0,0,0,11890058,171115703808,5319575,241007907328,1854.265625,3672638.5468749995,1657.796875,31514.078125,20636.015625,3.1,2500.0,0.0,2500.0,783591049,2848833090,0,2605960438
1709131020125.681,0,0,0,0,0,0,0,0,91865512008,8663200051,73949234,22574444,311,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,128047291,0,632045,0,0,0,0,0,2800774836,60659346926,3923984,1463682,0,0,0,0,11890059,171115736576,5319617,241010856448,1854.359375,3672650.2812499995,1657.8125,31514.359375,20636.140625,4.2,2500.0,0.0,2500.0,783639300,2848862295,0,2606145763
1709131021125.5764,0,0,0,0,0,0,0,0,91877312699,8664273193,73958522,22577352,311,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,128048971,0,632053,0,0,0,0,0,2800776516,60659346926,3923992,1463682,0,0,0,0,11890059,171115736576,5319650,241012421120,1854.390625,3672661.9843749995,1657.84375,31514.609375,20636.25,3.5,2500.0,0.0,2500.0,783687277,2848890721,0,2606330076
1709131022122.5322,0,0,0,0,0,0,0,0,91889157267,8665330079,73967751,22580173,311,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,128048971,0,632053,0,0,0,0,0,2800776516,60659346926,3923992,1463682,0,0,0,0,11890081,171116098560,5319654,241012699648,1854.484375,3672672.7812499995,1657.875,31515.046875,20637.0,10.8,2500.0,0.0,2500.0,783737247,2848925383,0,2606537859
1709131023123.583,0,0,0,0,0,0,0,0,91900999514,8666391792,73977006,22582970,311,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,128048971,0,632053,0,0,0,0,0,2800776516,60659346926,3923992,1463682,0,0,0,0,11890273,171118158848,5319697,241014280704,1854.59375,3672684.1874999995,1657.9375,31515.390625,20637.265625,6.4,2500.0,0.0,2500.0,783789001,2848960832,0,2606803932
1709131024121.6472,0,0,0,0,0,0,0,0,91912750071,8667475636,73986469,22585969,311,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,128048971,0,632053,0,0,0,0,0,2800776516,60659346926,3923992,1463682,0,0,0,0,11894413,171194259968,5319765,241016316416,1854.65625,3672695.7031249995,1657.953125,31515.625,20637.46875,4.3,2500.0,0.0,2500.0,783859866,2849004408,0,2607039141
1709131025119.4663,0,0,0,0,0,0,0,0,91924102311,8668574855,73995883,22589060,311,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,128050651,0,632061,0,0,0,0,0,2800778196,60659346926,3924000,1463682,0,0,0,0,11896024,171346593280,5319798,241018864128,1854.703125,3672707.3281249995,1657.984375,31515.921875,20637.5625,3.9,2500.0,0.0,2500.0,783920280,2849039840,0,2607260525
1709131026117.7822,0,0,0,0,0,0,0,0,91935436636,8669676397,74005310,22592144,311,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,128050651,0,632061,0,0,0,0,0,2800778196,60659346926,3924000,1463682,0,0,0,0,11897745,171560057344,5319800,241018876416,1854.75,3672718.9218749995,1657.984375,31516.140625,20637.671875,3.1,2500.0,0.0,2500.0,783992606,2849081738,0,2607559043
