timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709125568828.3271,0,0,0,0,0,0,0,0,71511860527,6662670029,57281000,17098344,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125457068,0,619934,0,0,0,0,0,2798114910,60659331794,3911781,1463616,0,0,0,0,11867348,170139940864,5214815,236361698816,1822.984375,3607950.4218749995,1631.203125,31160.828125000466,20274.03125,0.0,2500.0,0.0,2500.0,617850547,2750777903,0,2109389788
1709125569837.1943,0,0,0,0,0,0,0,0,71523039035,6663718633,57289710,17101068,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125457068,0,619934,0,0,0,0,0,2798114910,60659331794,3911781,1463616,0,0,0,0,11867348,170139940864,5214868,236364213760,1822.984375,3607962.4531249995,1631.203125,31160.828125000466,20274.09375,0.5,2500.0,0.0,2500.0,617896063,2750807816,0,2109571935
1709125570830.9958,0,0,0,0,0,0,0,0,71534750873,6664764710,57298919,17103869,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125458748,0,619942,0,0,0,0,0,2798116590,60659331794,3911789,1463616,0,0,0,0,11867348,170139940864,5214875,236365303296,1822.984375,3607974.3437499995,1631.203125,31160.828125,20274.09375,0.0,2500.0,0.0,2500.0,617942458,2750836955,0,2109770246
1709125571828.8477,0,0,0,0,0,0,0,0,71546628192,6665815699,57308266,17106750,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125460428,0,619950,0,0,0,0,0,2798118270,60659331794,3911797,1463616,0,0,0,0,11867348,170139940864,5214910,236366958080,1822.984375,3607986.2656249995,1631.203125,31160.859375,20274.125,0.5,2500.0,0.0,2500.0,617990522,2750867005,0,2109950840
1709125572837.9265,0,0,0,0,0,0,0,0,71558583694,6666878940,57317654,17109628,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125460428,0,619950,0,0,0,0,0,2798118270,60659331794,3911797,1463616,0,0,0,0,11867348,170139940864,5214934,236368154112,1822.984375,3607998.3749999995,1631.203125,31160.890625,20274.125,0.3,2500.0,0.0,2500.0,618036390,2750896203,0,2110126845
1709125573833.0935,0,0,0,0,0,0,0,0,71570319730,6667933280,57326804,17112444,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125462108,0,619958,0,0,0,0,0,2798119950,60659331794,3911805,1463616,0,0,0,0,11867348,170139940864,5214942,236369260032,1822.984375,3608009.4531249995,1631.203125,31161.03125,20274.8125,7.0,2500.0,0.0,2500.0,618085117,2750930043,0,2110318751
1709125574835.4485,0,0,0,0,0,0,0,0,71582241144,6668981025,57336133,17115221,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125462108,0,619958,0,0,0,0,0,2798119950,60659331794,3911805,1463616,0,0,0,0,11867348,170139940864,5214967,236371238400,1822.984375,3608021.2656249995,1631.203125,31161.125,20274.9375,1.8,2500.0,0.0,2500.0,618133744,2750962187,0,2110534345
1709125575826.9756,0,0,0,0,0,0,0,0,71593827615,6670035702,57345450,17118105,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125462108,0,619958,0,0,0,0,0,2798119950,60659331794,3911805,1463616,0,0,0,0,11867348,170139940864,5214989,236372712960,1822.984375,3608033.1249999995,1631.203125,31161.15625,20274.984375,0.7,2500.0,0.0,2500.0,618188678,2750995551,0,2110736201
1709125576837.0935,0,0,0,0,0,0,0,0,71605275477,6671132991,57354979,17121222,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125462108,0,619958,0,0,0,0,0,2798119950,60659331794,3911805,1463616,0,0,0,0,11867348,170139940864,5215011,236374322688,1822.984375,3608045.1718749995,1631.203125,31161.203125,20275.0625,1.0,2500.0,0.0,2500.0,618247283,2751054309,0,2110984769
1709125577829.0676,0,0,0,0,0,0,0,0,71616359561,6672210252,57364258,17124276,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,125463788,0,619966,0,0,0,0,0,2798121630,60659331794,3911813,1463616,0,0,0,0,11867349,170139957248,5215024,236375465472,1822.984375,3608056.9062499995,1631.203125,31161.265625,20275.078125,0.7,2500.0,0.0,2500.0,618309169,2751097470,0,2111250507
