timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709135656843.4275,0,0,0,0,0,0,0,0,141590715065,13334782250,114200741,35496905,319,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,130248525,0,642337,0,0,0,0,0,2803974069,60659360347,3934955,1463872,0,0,0,0,11903679,172384482816,5418010,247516800000,2052.375,3726579.125,1786.625,32483.359374999534,21378.953125,5.7,2500.0,0.0,2500.0,1040425868,2999109066,0,3376816131
1709135657854.9731,0,0,0,0,0,0,0,0,141602065632,13335839303,114209596,35499720,319,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,130248525,0,642337,0,0,0,0,0,2803974069,60659360347,3934955,1463872,0,0,0,0,11903680,172384499200,5418070,247519355904,2052.4375,3726590.8125,1786.671875,32483.578124999534,21379.15625,4.3,2500.0,0.0,2500.0,1040474161,2999138520,0,3377002683
1709135658852.2273,0,0,0,0,0,0,0,0,141613938632,13336895398,114218962,35502634,319,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,130248525,0,642337,0,0,0,0,0,2803974069,60659360347,3934955,1463872,0,0,0,0,11903681,172384515584,5418103,247521215488,2052.484375,3726602.46875,1786.671875,32483.765624999534,21379.265625,2.9,2500.0,0.0,2500.0,1040523069,2999168567,0,3377192229
1709135659851.0928,0,0,0,0,0,0,0,0,141625816085,13337953700,114228356,35505617,319,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,130250205,0,642345,0,0,0,0,0,2803975749,60659360347,3934963,1463872,0,0,0,0,11903681,172384515584,5418128,247523353600,2052.5,3726614.15625,1786.671875,32483.906249999534,21379.390625,2.3,2500.0,0.0,2500.0,1040571418,2999197220,0,3377373904
1709135660849.5635,0,0,0,0,0,0,0,0,141637649391,13339012664,114237682,35508543,319,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,130250205,0,642345,0,0,0,0,0,2803975749,60659360347,3934963,1463872,0,0,0,0,11903681,172384515584,5418138,247524439040,2052.5625,3726625.75,1786.71875,32484.109374999534,21379.578125,4.1,2500.0,0.0,2500.0,1040620321,2999226910,0,3377563894
1709135661847.1782,0,0,0,0,0,0,0,0,141649482648,13340063126,114246932,35511406,319,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,130250205,0,642345,0,0,0,0,0,2803975749,60659360347,3934963,1463872,0,0,0,0,11903681,172384515584,5418170,247526638592,2052.640625,3726636.703125,1786.734375,32484.531249999534,21380.234375,9.7,2500.0,0.0,2500.0,1040669417,2999259863,0,3377757697
1709135662850.8835,0,0,0,0,0,0,0,0,141661354189,13341124240,114256284,35514331,319,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,130250205,0,642345,0,0,0,0,0,2803975749,60659360347,3934963,1463872,0,0,0,0,11903681,172384515584,5418188,247528010752,2052.703125,3726648.109375,1786.78125,32484.906249999534,21380.4375,5.7,2500.0,0.0,2500.0,1040721369,2999293345,0,3377987546
1709135663848.0369,0,0,0,0,0,0,0,0,141673035629,13342195179,114265721,35517376,319,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,130250205,0,642345,0,0,0,0,0,2803975749,60659360347,3934963,1463872,0,0,0,0,11903682,172384531968,5418196,247528104960,2052.71875,3726659.703125,1786.828125,32485.187499999534,21380.59375,4.1,2500.0,0.0,2500.0,1040776068,2999325325,0,3378189216
1709135664856.1758,0,0,0,0,0,0,0,0,141684363699,13343298565,114275219,35520607,319,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,130250205,0,642345,0,0,0,0,0,2803975749,60659360347,3934963,1463872,0,0,0,0,11903682,172384531968,5418215,247530476544,2052.796875,3726671.484375,1786.875,32485.484374999534,21380.6875,4.2,2500.0,0.0,2500.0,1040836558,2999360029,0,3378455282
1709135665844.2612,0,0,0,0,0,0,0,0,141695523764,13344379939,114284540,35523738,319,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,130250205,0,642345,0,0,0,0,0,2803975749,60659360347,3934963,1463872,0,0,0,0,11903682,172384531968,5418223,247531795456,2052.828125,3726682.9375,1786.890625,32485.718749999534,21380.859375,3.8,2500.0,0.0,2500.0,1040898429,2999394704,0,3378715018
