timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709123091192.2842,0,0,0,0,0,0,0,0,43399236848,4042513599,34870252,10177569,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124282345,0,614442,0,0,0,0,0,2796940187,60659331654,3906289,1463614,0,0,0,0,11811114,168379417600,5133337,231665734144,1821.59375,3578403.0156249995,1629.59375,31096.6875,20153.90625,0.0,2500.0,0.0,2500.0,487842830,2671459562,0,1734255739
1709123092191.1487,0,0,0,0,0,0,0,0,43410265769,4043527677,34878818,10180000,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124282345,0,614442,0,0,0,0,0,2796940187,60659331654,3906289,1463614,0,0,0,0,11811114,168379417600,5133929,231671349760,1821.59375,3578415.0156249995,1629.59375,31096.703125,20153.921875,0.3,2500.0,0.0,2500.0,487891531,2671490406,0,1734444296
1709123093190.1948,0,0,0,0,0,0,0,0,43422084853,4044566489,34888019,10182572,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124282345,0,614442,0,0,0,0,0,2796940187,60659331654,3906289,1463614,0,0,0,0,11811116,168379438080,5133954,231673668096,1821.59375,3578426.9374999995,1629.59375,31096.734375,20153.921875,0.3,2500.0,0.0,2500.0,487943022,2671522621,0,1734662819
1709123094182.1284,0,0,0,0,0,0,0,0,43433969141,4045587619,34897240,10185116,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124282562,0,614443,0,0,0,0,0,2796940404,60659331654,3906290,1463614,0,0,0,0,11811116,168379438080,5133955,231673672192,1821.59375,3578438.7968749995,1629.59375,31096.78125,20153.921875,0.4,2500.0,0.0,2500.0,487991532,2671552300,0,1734866628
1709123095179.944,0,0,0,0,0,0,0,0,43445655706,4046620575,34906362,10187686,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124284459,0,614452,0,0,0,0,0,2796942301,60659331654,3906299,1463614,0,0,0,0,11811118,168379470848,5133973,231675093504,1821.59375,3578450.7499999995,1629.59375,31096.78125,20153.9375,0.1,2500.0,0.0,2500.0,488041084,2671582925,0,1735061230
1709123096181.3167,0,0,0,0,0,0,0,0,43457500344,4047654668,34915501,10190214,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124286356,0,614461,0,0,0,0,0,2796944198,60659331654,3906308,1463614,0,0,0,0,11811118,168379470848,5134022,231678714368,1821.59375,3578461.9218749995,1629.625,31097.0,20154.609375,7.6,2500.0,0.0,2500.0,488090904,2671616777,0,1735263959
1709123097190.138,0,0,0,0,0,0,0,0,43469515550,4048699391,34924830,10192783,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124286573,0,614462,0,0,0,0,0,2796944415,60659331654,3906309,1463614,0,0,0,0,11811119,168379487232,5134059,231680147968,1821.59375,3578473.8124999995,1629.625,31097.0,20154.75,1.2,2500.0,0.0,2500.0,488141764,2671649393,0,1735493991
1709123098186.8955,0,0,0,0,0,0,0,0,43481249054,4049739183,34934205,10195409,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124288253,0,614470,0,0,0,0,0,2796946095,60659331654,3906317,1463614,0,0,0,0,11811119,168379487232,5134070,231681356288,1821.59375,3578485.6874999995,1629.625,31097.03125,20154.828125,0.9,2500.0,0.0,2500.0,488197941,2671682984,0,1735722816
1709123099186.1907,0,0,0,0,0,0,0,0,43492773187,4050797813,34943648,10198125,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124288253,0,614470,0,0,0,0,0,2796946095,60659331654,3906317,1463614,0,0,0,0,11811119,168379487232,5134098,231682712064,1821.59375,3578497.7343749995,1629.625,31097.03125,20154.84375,0.1,2500.0,0.0,2500.0,488255893,2671716604,0,1735966940
1709123100181.0657,0,0,0,0,0,0,0,0,43504015793,4051851948,34952911,10200850,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,124288253,0,614470,0,0,0,0,0,2796946095,60659331654,3906317,1463614,0,0,0,0,11811131,168379798528,5134393,231686779392,1821.59375,3578509.6093749995,1629.625,31097.03125,20154.859375,0.1,2500.0,0.0,2500.0,488319681,2671753006,0,1736235748
