timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709134407027.6194,0,0,0,0,0,0,0,0,129641044900,12219466938,104517380,32369042,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,129651947,0,639545,0,0,0,0,0,2803377491,60659360277,3932163,1463871,0,0,0,0,11903148,172364162048,5393357,245952527360,2002.25,3711992.890625,1754.0625,32235.515625,21215.28125,7.9,2500.0,0.0,2500.0,978590546,2961122867,0,3191712807
1709134408028.5725,0,0,0,0,0,0,0,0,129651954564,12220519158,104525911,32371728,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,129653627,0,639553,0,0,0,0,0,2803379171,60659360277,3932171,1463871,0,0,0,0,11903150,172364194816,5393888,245959121920,2002.28125,3712004.546875,1754.09375,32235.71875,21215.5,4.0,2500.0,0.0,2500.0,978639144,2961153177,0,3191888097
1709134409043.3882,0,0,0,0,0,0,0,0,129663789500,12221600603,104535229,32374613,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,129655307,0,639561,0,0,0,0,0,2803380851,60659360277,3932179,1463871,0,0,0,0,11903152,172364243968,5393921,245961272320,2002.34375,3712016.1875,1754.125,32236.0,21215.671875,4.5,2500.0,0.0,2500.0,978685928,2961181305,0,3192079115
1709134410036.6523,0,0,0,0,0,0,0,0,129675485414,12222667929,104544486,32377496,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,129655307,0,639561,0,0,0,0,0,2803380851,60659360277,3932179,1463871,0,0,0,0,11903152,172364243968,5393972,245964442624,2002.40625,3712027.671875,1754.15625,32236.265625,21215.765625,3.8,2500.0,0.0,2500.0,978733633,2961210404,0,3192258197
1709134411039.5618,0,0,0,0,0,0,0,0,129687448646,12223739975,104553916,32380383,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,129656987,0,639569,0,0,0,0,0,2803382531,60659360277,3932187,1463871,0,0,0,0,11903152,172364243968,5394000,245965884416,2002.421875,3712039.234375,1754.171875,32236.515625,21215.96875,4.0,2500.0,0.0,2500.0,978781228,2961238858,0,3192450012
1709134412037.6694,0,0,0,0,0,0,0,0,129699210225,12224805532,104563137,32383221,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,129657510,0,639570,0,0,0,0,0,2803383054,60659360277,3932188,1463871,0,0,0,0,11903152,172364243968,5394014,245967256576,2002.5,3712050.21875,1754.1875,32236.890625,21216.59375,9.1,2500.0,0.0,2500.0,978831630,2961273527,0,3192647373
1709134413033.835,0,0,0,0,0,0,0,0,129711063376,12225860004,104572441,32385997,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,129657510,0,639570,0,0,0,0,0,2803383054,60659360277,3932188,1463871,0,0,0,0,11903153,172364260352,5394052,245968845824,2002.578125,3712061.84375,1754.234375,32237.078125,21216.796875,4.2,2500.0,0.0,2500.0,978880773,2961341026,0,3192865565
1709134414031.7222,0,0,0,0,0,0,0,0,129722738120,12226939631,104581849,32388900,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,129657510,0,639570,0,0,0,0,0,2803383054,60659360277,3932188,1463871,0,0,0,0,11903153,172364260352,5394082,245970295808,2002.609375,3712073.46875,1754.265625,32237.296875,21216.90625,3.3,2500.0,0.0,2500.0,978936526,2961374165,0,3193070592
1709134415037.1335,0,0,0,0,0,0,0,0,129733958457,12228048346,104591254,32391994,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,129659190,0,639578,0,0,0,0,0,2803384734,60659360277,3932196,1463871,0,0,0,0,11903160,172364440576,5394325,245972909056,2002.625,3712085.140625,1754.296875,32237.515625,21217.046875,3.4,2500.0,0.0,2500.0,978994494,2961407373,0,3193322008
1709134416030.7988,0,0,0,0,0,0,0,0,129745146002,12229138104,104600608,32395000,315,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,129659190,0,639578,0,0,0,0,0,2803384734,60659360277,3932196,1463871,0,0,0,0,11903160,172364440576,5394353,245974383616,2002.671875,3712096.71875,1754.328125,32237.75,21217.265625,4.4,2500.0,0.0,2500.0,979059234,2961444303,0,3193590164
