timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709089914878.222,0,0,0,0,0,0,0,0,78541024328,8570962771,63910499,21160245,493,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,119748021,0,593186,0,0,0,0,0,2790691604,60659251989,3883746,1463113,0,0,0,0,11387228,158314136576,4856596,214836291584,1804.265625,3465541.875,1604.359375,30505.96875,19109.0,0.0,2500.0,0.0,2500.0,4246413682,2360114472,0,90389157
1709089915880.46,0,0,0,0,0,0,0,0,78551613255,8571996674,63918788,21162899,493,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,119748021,0,593186,0,0,0,0,0,2790691604,60659251989,3883746,1463113,0,0,0,0,11387230,158314169344,4856626,214837180416,1804.265625,3465553.515625,1604.375,30506.109375,19109.21875,3.1,2500.0,0.0,2500.0,4246517528,2360198014,0,90679582
1709089916872.843,0,0,0,0,0,0,0,0,78563263633,8573036927,63927973,21165674,493,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,119748021,0,593186,0,0,0,0,0,2790691604,60659251989,3883746,1463113,0,0,0,0,11387232,158314202112,4856653,214839646208,1804.265625,3465565.171875,1604.375,30506.296875,19109.296875,2.2,2500.0,0.0,2500.0,4246569973,2360231432,0,90879487
1709089917881.1594,0,0,0,0,0,0,0,0,78575284270,8574093671,63937428,21168497,493,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,119748021,0,593186,0,0,0,0,0,2790691604,60659251989,3883746,1463113,0,0,0,0,11387232,158314202112,4856676,214841292800,1804.265625,3465576.921875,1604.375,30506.375,19109.4375,1.8,2500.0,0.0,2500.0,4246616895,2360260812,0,91058192
1709089918876.999,0,0,0,0,0,0,0,0,78587110276,8575142451,63946727,21171321,493,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,119749701,0,593194,0,0,0,0,0,2790693284,60659251989,3883754,1463113,0,0,0,0,11387233,158314218496,4856697,214842517504,1804.265625,3465588.640625,1604.375,30506.46875,19109.625,2.3,2500.0,0.0,2500.0,4246663899,2360290465,0,91237236
1709089919903.747,0,0,0,0,0,0,0,0,78599248207,8576208903,63956214,21174111,493,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,119751381,0,593202,0,0,0,0,0,2790694964,60659251989,3883762,1463113,0,0,0,0,11387233,158314218496,4856713,214843811840,1804.28125,3465600.109375,1604.375,30506.796874999534,19110.296875,8.1,2500.0,0.0,2500.0,4246716622,2360477986,0,91441271
1709089920887.0774,0,0,0,0,0,0,0,0,78610773755,8577239868,63965318,21176850,493,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,119751904,0,593203,0,0,0,0,0,2790695487,60659251989,3883763,1463113,0,0,0,0,11387234,158314234880,4856741,214845835264,1804.296875,3465611.1406249995,1604.375,30507.203125,19110.625,6.4,2500.0,0.0,2500.0,4246766787,2360860693,0,91621617
1709089921882.264,0,0,0,0,0,0,0,0,78622540184,8578270997,63974550,21179521,493,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,119753584,0,593211,0,0,0,0,0,2790697167,60659251989,3883771,1463113,0,0,0,0,11387235,158314251264,4856761,214847199232,1804.296875,3465622.4218749995,1604.375,30507.359375,19111.0,4.5,2500.0,0.0,2500.0,4246818307,2360892876,0,91867605
1709089922872.891,0,0,0,0,0,0,0,0,78633724690,8579347863,63983852,21182537,493,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,119753584,0,593211,0,0,0,0,0,2790697167,60659251989,3883771,1463113,0,0,0,0,11387235,158314251264,4856763,214847244288,1804.296875,3465634.1406249995,1604.375,30507.484375,19111.078125,1.7,2500.0,0.0,2500.0,4246876606,2360927697,0,92073419
1709089923881.9495,0,0,0,0,0,0,0,0,78644895993,8580430080,63993170,21185512,493,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,119753584,0,593211,0,0,0,0,0,2790697167,60659251989,3883771,1463113,0,0,0,0,11387235,158314251264,4856898,214850189312,1804.296875,3465645.8906249995,1604.375,30507.578125,19111.3125,2.7,2500.0,0.0,2500.0,4246947836,2360976867,0,92393278
