timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709147469012.8909,0,0,0,0,0,0,0,0,158109225448,15459101409,127663449,40200545,488,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,135861688,0,668580,0,0,0,0,0,2810608976,60659381268,3961905,1464083,0,0,0,0,12615895,176878550016,5591138,254601601024,2141.828125,3866908.2812499995,1855.703125,33358.765625000466,21920.499999999996,4.2,2500.0,0.0,2500.0,1200415955,3094002798,0,3895981563
1709147470009.4368,0,0,0,0,0,0,0,0,158120029648,15460152358,127671910,40203247,488,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,135861688,0,668580,0,0,0,0,0,2810608976,60659381268,3961905,1464083,0,0,0,0,12615895,176878550016,5591146,254602752000,2141.875,3866919.7968749995,1855.734375,33359.031250000466,21920.671874999996,4.3,2500.0,0.0,2500.0,1200464476,3094032831,0,3896161780
1709147471010.462,0,0,0,0,0,0,0,0,158131900438,15461225940,127681253,40206164,488,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,135861688,0,668580,0,0,0,0,0,2810608976,60659381268,3961905,1464083,0,0,0,0,12615895,176878550016,5591173,254604836864,2141.90625,3866931.2968749995,1855.75,33359.250000000466,21920.874999999996,3.9,2500.0,0.0,2500.0,1200514678,3094062849,0,3896382405
1709147472000.905,0,0,0,0,0,0,0,0,158143748286,15462288060,127690580,40209052,488,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,135863368,0,668588,0,0,0,0,0,2810610656,60659381268,3961913,1464083,0,0,0,0,12615895,176878550016,5591229,254605578240,2142.015625,3866942.8437499995,1855.796875,33359.500000000466,21920.968749999996,4.2,2500.0,0.0,2500.0,1200563277,3094092409,0,3896561817
1709147473011.2751,0,0,0,0,0,0,0,0,158155191670,15463372267,127699645,40211970,488,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,135863368,0,668588,0,0,0,0,0,2810610656,60659381268,3961913,1464083,0,0,0,0,12615895,176878550016,5591246,254607970304,2142.140625,3866954.4999999995,1855.8125,33359.750000000466,21921.124999999996,4.5,2500.0,0.0,2500.0,1200610419,3094120480,0,3896741075
1709147474009.613,0,0,0,0,0,0,0,0,158166758514,15464448869,127708690,40214870,488,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,135863368,0,668588,0,0,0,0,0,2810610656,60659381268,3961913,1464083,0,0,0,0,12615895,176878550016,5591250,254608105472,2142.171875,3866965.5937499995,1855.828125,33360.046875000466,21921.906249999996,9.2,2500.0,0.0,2500.0,1200660960,3094161375,0,3896937503
1709147475009.6504,0,0,0,0,0,0,0,0,158178511003,15465516969,127717936,40217736,488,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,135863368,0,668588,0,0,0,0,0,2810610656,60659381268,3961913,1464083,0,0,0,0,12615895,176878550016,5591270,254610305024,2142.1875,3866976.8749999995,1855.84375,33360.312500000466,21922.265624999996,5.5,2500.0,0.0,2500.0,1200711181,3094224468,0,3897164199
1709147476003.085,0,0,0,0,0,0,0,0,158190250894,15466592475,127727356,40220714,488,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,135863368,0,668588,0,0,0,0,0,2810610656,60659381268,3961913,1464083,0,0,0,0,12615895,176878550016,5591297,254611742720,2142.265625,3866988.3437499995,1855.859375,33360.562500000466,21922.406249999996,4.1,2500.0,0.0,2500.0,1200767026,3094257290,0,3897376981
1709147477002.7131,0,0,0,0,0,0,0,0,158201429648,15467694997,127736681,40223833,488,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,135863368,0,668588,0,0,0,0,0,2810610656,60659381268,3961913,1464083,0,0,0,0,12615895,176878550016,5591318,254614126592,2142.296875,3867000.0468749995,1855.875,33360.765625000466,21922.546874999996,3.2,2500.0,0.0,2500.0,1200828453,3094292946,0,3897629719
1709147478006.9282,0,0,0,0,0,0,0,0,158212592200,15468815619,127746046,40226999,488,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,135863368,0,668588,0,0,0,0,0,2810610656,60659381268,3961913,1464083,0,0,0,0,12615895,176878550016,5591320,254614204416,2142.34375,3867011.6249999995,1855.921875,33361.015625000466,21922.749999999996,4.5,2500.0,0.0,2500.0,1200893595,3094329890,0,3897897680
