timestamp,id,uuid,load,memoryUtil,memoryTotal,memoryFree,driver,name,serial,display_mode,display_active
1709121325.161863,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.18,0.3384765625,10240.0,6774.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709121326.158145,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.16,0.49951171875,10240.0,5125.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709121327.155362,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.11,0.44580078125,10240.0,5675.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709121328.168118,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.1,0.44580078125,10240.0,5675.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709121329.163212,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.11,0.44580078125,10240.0,5675.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709121330.159235,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.12,0.334375,10240.0,6816.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709121331.167847,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.1,0.38056640625,10240.0,6343.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709121332.165084,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.15,0.39921875,10240.0,6152.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709121333.157788,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.15,0.39931640625,10240.0,6151.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
1709121334.169099,0,GPU-a71d5fd4-b7db-93b7-1b7a-5a6e2a6a8c65,0.15,0.39912109375,10240.0,6153.0,472.12,NVIDIA GeForce RTX 3080,[N/A],Enabled,Enabled
