timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709121325210.8755,0,0,0,0,0,0,0,0,22898353006,2185583437,18653261,5571729,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,123443903,0,610521,0,0,0,0,0,2794528803,60659258336,3901197,1463175,0,0,0,0,11692694,166338467840,5094077,229125812224,1821.03125,3557284.625,1629.0625,31060.718749999534,20116.5,0.0,2500.0,0.0,2500.0,399178106,2618018840,0,1475121981
1709121326205.136,0,0,0,0,0,0,0,0,22909375434,2186610542,18661830,5574210,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,123445583,0,610529,0,0,0,0,0,2794530483,60659258336,3901205,1463175,0,0,0,0,11692696,166338566144,5094077,229125812224,1821.03125,3557296.390625,1629.0625,31060.734374999534,20116.625,1.2,2500.0,0.0,2500.0,399222521,2618047740,0,1475298403
1709121327200.835,0,0,0,0,0,0,0,0,22921128958,2187638826,18670977,5576738,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,123445583,0,610529,0,0,0,0,0,2794530483,60659258336,3901205,1463175,0,0,0,0,11692699,166338697216,5094100,229127749632,1821.03125,3557308.40625,1629.0625,31060.749999999534,20116.625,0.1,2500.0,0.0,2500.0,399266301,2618075611,0,1475482462
1709121328213.0571,0,0,0,0,0,0,0,0,22933026370,2188689093,18680286,5579403,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,123447263,0,610537,0,0,0,0,0,2794532163,60659258336,3901213,1463175,0,0,0,0,11692702,166338828288,5094124,229130080256,1821.03125,3557320.453125,1629.0625,31060.765624999534,20116.6875,0.6,2500.0,0.0,2500.0,399311554,2618104835,0,1475674247
1709121329209.181,0,0,0,0,0,0,0,0,22944632092,2189726346,18689381,5582123,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,123447263,0,610537,0,0,0,0,0,2794532163,60659258336,3901213,1463175,0,0,0,0,11692704,166338959360,5094135,229130940416,1821.03125,3557332.34375,1629.0625,31060.765624999534,20116.6875,0.0,2500.0,0.0,2500.0,399354893,2618132683,0,1475846631
1709121330204.0667,0,0,0,0,0,0,0,0,22956094524,2190757152,18698300,5584725,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,123447263,0,610537,0,0,0,0,0,2794532163,60659258336,3901213,1463175,0,0,0,0,11692706,166339090432,5094141,229132034048,1821.03125,3557343.4375,1629.078125,31060.968749999534,20117.375,7.6,2500.0,0.0,2500.0,399400806,2618165249,0,1476035332
1709121331213.3235,0,0,0,0,0,0,0,0,22968040735,2191808486,18707599,5587434,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,123447263,0,610537,0,0,0,0,0,2794532163,60659258336,3901213,1463175,0,0,0,0,11692706,166339090432,5094181,229133647872,1821.03125,3557355.265625,1629.078125,31061.015624999534,20117.578125,2.1,2500.0,0.0,2500.0,399448797,2618197013,0,1476262395
1709121332210.0789,0,0,0,0,0,0,0,0,22979466733,2192865426,18716882,5590222,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,123448943,0,610545,0,0,0,0,0,2794533843,60659258336,3901221,1463175,0,0,0,0,11692708,166339221504,5094300,229136556032,1821.03125,3557367.171875,1629.09375,31061.062499999534,20117.640625,1.0,2500.0,0.0,2500.0,399501233,2618228532,0,1476449692
1709121333203.003,0,0,0,0,0,0,0,0,22990335917,2193925210,18725901,5593029,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,123448943,0,610545,0,0,0,0,0,2794533843,60659258336,3901221,1463175,0,0,0,0,11692710,166339352576,5094312,229137743872,1821.03125,3557379.046875,1629.09375,31061.140624999534,20117.640625,0.7,2500.0,0.0,2500.0,399557761,2618261910,0,1476728862
1709121334214.065,0,0,0,0,0,0,0,0,23001323293,2195005969,18735092,5595912,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,123448943,0,610545,0,0,0,0,0,2794533843,60659258336,3901221,1463175,0,0,0,0,11692712,166339483648,5094318,229138808832,1821.03125,3557391.140625,1629.09375,31061.140625,20117.65625,0.1,2500.0,0.0,2500.0,399617391,2618296844,0,1476965522
