timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,net.bytes_sent.vEthernet (Default Switch),net.bytes_recv.vEthernet (Default Switch),net.packets_sent.vEthernet (Default Switch),net.packets_recv.vEthernet (Default Switch),net.errin.vEthernet (Default Switch),net.errout.vEthernet (Default Switch),net.dropin.vEthernet (Default Switch),net.dropout.vEthernet (Default Switch),net.bytes_sent.vEthernet (WSL (Hyper-V firewall)),net.bytes_recv.vEthernet (WSL (Hyper-V firewall)),net.packets_sent.vEthernet (WSL (Hyper-V firewall)),net.packets_recv.vEthernet (WSL (Hyper-V firewall)),net.errin.vEthernet (WSL (Hyper-V firewall)),net.errout.vEthernet (WSL (Hyper-V firewall)),net.dropin.vEthernet (WSL (Hyper-V firewall)),net.dropout.vEthernet (WSL (Hyper-V firewall)),disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1709153465272.575,0,0,0,0,0,0,0,0,181270114797,17686092123,146104817,46057120,531,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,138707334,0,681883,0,0,0,0,0,2815556218,60659454260,3976739,1464543,0,0,0,0,12625386,177428208128,5708221,259574277632,2232.5625,3937276.078125,1923.375,34343.21875,22523.437499999996,2.1,2500.0,0.0,2500.0,1381654052,3200987505,0,86816630
1709153466268.8777,0,0,0,0,0,0,0,0,181281036130,17687148179,146113343,46059872,531,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,138707334,0,681883,0,0,0,0,0,2815556218,60659454260,3976739,1464543,0,0,0,0,12625386,177428208128,5708228,259575350784,2232.5625,3937287.453125,1923.375,34343.34375,22523.703124999996,3.3,2500.0,0.0,2500.0,1381704431,3201026108,0,87009322
1709153467273.8481,0,0,0,0,0,0,0,0,181292855484,17688228340,146122651,46062795,531,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,138709014,0,681891,0,0,0,0,0,2815557898,60659454260,3976747,1464543,0,0,0,0,12625386,177428208128,5708254,259577079296,2232.5625,3937299.21875,1923.375,34343.453125,22523.874999999996,2.3,2500.0,0.0,2500.0,1381752916,3201055719,0,87207972
1709153468269.1614,0,0,0,0,0,0,0,0,181304697727,17689296062,146131973,46065683,531,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,138710694,0,681899,0,0,0,0,0,2815559578,60659454260,3976755,1464543,0,0,0,0,12625386,177428208128,5708266,259578091008,2232.5625,3937311.0,1923.375,34343.53125,22524.046874999996,2.1,2500.0,0.0,2500.0,1381801022,3201085722,0,87389748
1709153469271.0422,0,0,0,0,0,0,0,0,181316441829,17690364678,146141201,46068530,531,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,138710694,0,681899,0,0,0,0,0,2815559578,60659454260,3976755,1464543,0,0,0,0,12625387,177428212224,5708274,259579225600,2232.5625,3937322.578125,1923.375,34343.6875,22524.234374999996,2.9,2500.0,0.0,2500.0,1381848350,3201114586,0,87570352
1709153470267.2307,0,0,0,0,0,0,0,0,181328287187,17691418554,146150350,46071248,531,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,138712374,0,681907,0,0,0,0,0,2815561258,60659454260,3976763,1464543,0,0,0,0,12625387,177428212224,5708291,259581126144,2232.59375,3937333.59375,1923.390625,34343.953125,22524.953124999996,8.6,2500.0,0.0,2500.0,1381898784,3201150678,0,87766574
1709153471274.1985,0,0,0,0,0,0,0,0,181340146786,17692491236,146159605,46074107,531,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,138712374,0,681907,0,0,0,0,0,2815561258,60659454260,3976763,1464543,0,0,0,0,12625388,177428236800,5708325,259583354368,2232.59375,3937345.296875,1923.390625,34344.046875,22525.312499999996,3.7,2500.0,0.0,2500.0,1381949731,3201184504,0,88012540
1709153472269.9348,0,0,0,0,0,0,0,0,181351814211,17693574155,146169058,46077139,531,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,138712374,0,681907,0,0,0,0,0,2815561258,60659454260,3976763,1464543,0,0,0,0,12625388,177428236800,5708337,259584714240,2232.59375,3937356.796875,1923.390625,34344.140625,22525.515624999996,2.5,2500.0,0.0,2500.0,1382007217,3201219117,0,88208510
1709153473268.2896,0,0,0,0,0,0,0,0,181362920529,17694675180,146178308,46080261,531,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,138712374,0,681907,0,0,0,0,0,2815561258,60659454260,3976763,1464543,0,0,0,0,12625389,177428253184,5708369,259586225664,2232.59375,3937368.5625,1923.390625,34344.234375,22525.749999999996,2.7,2500.0,0.0,2500.0,1382066410,3201253468,0,88476150
1709153474273.6445,0,0,0,0,0,0,0,0,181374000525,17695799147,146187587,46083428,531,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761783,0,3710,0,0,0,0,0,138714054,0,681915,0,0,0,0,0,2815562938,60659454260,3976771,1464543,0,0,0,0,12625390,177428269568,5708385,259587642880,2232.59375,3937380.21875,1923.4375,34344.453125,22525.968749999996,4.0,2500.0,0.0,2500.0,1382132566,3201292137,0,88741731
